,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,37.35576,0.12196503,34.58699,36.457447,39.649685,5.0626945,138.6654,175.55916,59.513123,56.38615,0.31255352,1.0804485,0.014672832,0.21146972,0.55201024,0.5373374,6.810305,4.442013,4.8709755,3.8403113,0.14208382,1.6149367,15.767484,1.2431341,7.8300447,1.9325098,1.744849,8.277761,-8.121799,-2.031196,0.022770543,2.126596,1.1333798,0.82138115,9.587914,0.40374273,8.001687,1.4719696,29.33882,0.45722222,735.1659,0.25096726,1373.774,0.17968693,-106.767586,-0.84563375,1811.5492,0.1254942,1067.4926,0.3267889,-107.97413,-0.7690268,2920.9138,0.08437505,934.9786,0.3815362,-111.26333,-0.7168038,-18.917973,-0.5766268,29.60376,0.41578957,0.059342075,0.37530187,-0.020986017,-0.80009377,0.23106116,1.1587465,28.095715,0.48707595,10.305857,1.5116363,2.810993,5.9934206,-15.909052,-1.0055873,-2.598391,11.742422,0.03493498,0.021862147,0.03634456,2.139984,2.0615237,0.25328124,0.2108138,0.22838983,0.34597674,-25.937727,0.0,62.166667,engaged
1,35.81235,0.1333182,34.26873,36.059082,38.32251,4.0537796,206.97697,150.62529,69.546104,43.31674,0.3446527,0.7954599,0.048340008,0.31935802,0.5922595,0.5439195,6.0264378,2.9450479,4.718036,2.4047248,0.18975088,1.0518934,23.452908,0.900432,14.4158325,0.935916,2.3916318,6.462396,-5.8620214,-2.7567527,0.020268772,1.598516,1.2660105,0.8021909,9.373664,0.4070206,11.131635,0.8939397,36.75791,0.33743018,763.05304,0.23091093,1432.0137,0.17972565,-76.02187,-1.0858164,1854.4468,0.11606995,1169.0641,0.21714868,-84.30691,-0.8643019,2987.035,0.08114612,1054.8937,0.27962,-88.89694,-0.78158265,-20.9593,-0.6028404,34.13486,0.35883474,0.056797314,0.33583513,-0.018339427,-0.96538,0.24937384,0.74018025,33.05501,0.4133408,16.267366,0.87830114,2.5976343,6.738696,-11.172931,-1.3800031,-4.614985,14.244101,0.031211378,0.026376883,0.031744465,3.8510911,2.32859,0.29277778,0.22120391,0.13933334,0.14502719,-24.172665,62.2,70.0,disengaged
2,35.85077,0.11500198,34.76779,36.351196,37.86852,3.100727,429.26724,494.09442,72.935005,65.95749,0.28962252,0.9997868,0.013453352,0.2169043,0.5095462,0.49609286,7.2109632,6.999753,3.9244573,3.2803288,0.1698424,1.4596263,20.951933,0.94021976,13.998156,0.9471414,2.1831994,6.193536,-5.1258893,-2.8666334,0.028198991,2.4538233,1.2764088,0.7775837,9.087895,0.37763572,10.275548,1.0782843,36.62774,0.3270136,759.41956,0.25084743,1416.2222,0.15724848,-103.519325,-0.85692954,1866.1682,0.12546372,1149.5455,0.2700799,-107.73994,-0.7425576,3005.1316,0.07836381,1104.3478,0.24062987,-112.5347,-0.67169654,-21.826756,-0.5092687,34.463036,0.3603739,0.062520094,0.33511856,-0.020497765,-0.8197562,0.2742909,1.0287513,33.51528,0.39451158,16.659422,0.84171337,2.3221748,6.86549,-11.230212,-1.3326076,-6.3564897,14.518146,0.039736453,0.020710902,0.04159967,2.1621623,2.635659,0.20117646,0.16049126,0.19,0.2959609,-25.2045,70.033333,83.0,engaged
3,37.269714,0.10362643,34.72174,36.89052,39.117584,4.3958435,300.17014,0.0,186.04996,124.12323,0.25293627,0.79325724,0.053174987,0.21065581,0.4454883,0.3923133,3.29552,2.4640172,2.6134722,1.4648387,0.09425206,1.0720776,11.061403,2.1267457,12.270755,0.79215693,4.067567,3.0379655,2.6035566,4.661186,0.017811758,0.99318075,1.0175178,0.86115813,9.376743,0.42496112,8.672091,1.1002749,25.643127,0.5300318,845.06573,0.17370614,1243.7217,0.15578951,-109.09289,-0.7915457,1957.0984,0.06518187,959.4726,0.28394744,-112.67856,-0.7065373,3000.256,0.058335476,970.8721,0.2519172,-115.62724,-0.66327095,-19.70212,-0.59392023,26.15272,0.5208974,0.045231692,0.38635203,-0.015937198,-1.1219819,0.16616239,0.58395845,25.647036,0.6458845,14.971036,0.63379395,8.372779,1.3884546,-3.4204764,-3.0847018,0.70579916,3.6239283,0.028557315,0.016928986,0.025557296,4.0268455,2.777778,0.1725,0.09120718,0.128,0.09927739,-28.936378,83.033333,84.533333,disengaged
4,37.076153,0.10798135,35.051224,36.663715,38.885605,3.834381,332.61166,462.6677,141.2386,337.47702,0.36274606,0.8833385,0.035177935,0.30465806,0.6228486,0.5876706,7.290087,4.0955567,4.684014,2.7956567,0.1598117,1.1329622,19.04187,1.0716823,10.413865,1.3671205,1.9257048,7.708245,-8.289739,-1.960698,0.019038854,1.5367155,1.1572471,0.8220749,9.669988,0.37874258,9.956734,1.1663233,30.378548,0.48261145,733.5213,0.25597262,1383.0197,0.17026737,-86.78223,-1.0050619,1813.9626,0.12298996,1077.047,0.30188063,-89.47257,-0.8859726,2936.1738,0.083911836,1003.3347,0.35805094,-93.87459,-0.8071719,-18.371622,-0.5988627,29.992737,0.41677198,0.062078703,0.32617393,-0.017749147,-0.98254025,0.22739838,0.8200388,29.11518,0.47206718,10.593118,1.4355344,2.3991723,7.0146856,-13.980878,-1.1408055,-3.2756355,11.255154,0.043248862,0.021811288,0.035010945,3.3695164,2.173421,0.28916666,0.2226201,0.15619564,0.22461483,-25.03209,84.566667,128.8,engaged
5,37.532887,0.068963386,36.075447,37.429916,39.41709,3.3416443,38.791046,24.79515,58.47982,101.065025,0.35602018,0.6046978,0.13282135,0.34561592,0.5315356,0.39871427,5.3511677,2.868799,3.9243948,1.7046473,0.22133052,0.80302185,26.968096,0.5685384,18.16226,0.6850022,6.596296,2.5730827,-9.969846,-1.4765658,0.019448567,0.7591723,1.2506973,0.7770328,10.758986,0.3106381,17.370089,0.46906075,35.8037,0.264889,803.80725,0.28906342,1419.0344,0.20459269,-69.22146,-1.0203431,1926.4188,0.11626067,1175.5924,0.29359937,-78.121864,-0.8082447,3041.5122,0.070090845,1085.7167,0.21736181,-81.57603,-0.74676716,-26.320255,-0.4045864,36.606762,0.29733855,0.05352595,0.40777376,-0.022631578,-0.7778134,0.265243,0.6608146,32.116295,0.30494386,19.76101,0.5747053,10.347757,1.3977652,-13.3453,-1.0520146,-10.05715,19.57682,0.03411314,0.0015401393,0.10449045,5.2325583,2.3952096,0.3125,0.12152674,0.066,0.05388877,-22.485247,128.833333,130.566667,disengaged
6,38.293144,0.1456584,34.34565,36.868618,41.014565,6.668915,155.03752,232.62595,48.808697,35.69317,0.3220924,1.4664758,0.007673571,0.16680485,0.5310554,0.5233818,5.264032,3.5494027,2.9647374,2.1468387,0.12916745,1.9657742,11.661191,1.5739659,4.084922,3.581744,-2.5092237,-6.759901,-10.506592,-1.785289,0.017795825,1.3699983,1.091879,0.8671045,9.327822,0.43822837,5.562785,2.3813229,25.442053,0.48206654,729.99854,0.28668362,1362.7411,0.19435416,-115.439285,-0.8074851,1781.0746,0.13180417,1082.8041,0.29969656,-111.96607,-0.78607297,2906.3992,0.08569541,965.70483,0.42136067,-115.53335,-0.7286208,-15.217232,-0.74149877,27.220066,0.4012221,0.05834409,0.33916643,-0.01841927,-1.0047847,0.23659216,1.3567941,24.114626,0.52221256,3.663834,4.9263587,-4.596136,-4.7086897,-20.873465,-0.93286264,-1.4500308,9.809214,0.037870824,0.02699247,0.023192346,1.5697138,1.6651249,0.28796297,0.2862813,0.3275,0.5281473,-23.53363,130.6,163.1,engaged
7,37.1084,0.07095868,35.98269,37.033115,38.677917,2.6952286,43.960243,21.403633,176.97363,264.1046,0.2966142,0.8529605,0.04338282,0.24046195,0.5521073,0.50872445,5.6759386,3.9089382,3.3679807,2.625823,0.15737398,1.4586372,21.155521,0.93648785,7.1163793,1.1765023,2.878862,5.053645,-6.4978347,-2.1176577,0.035559274,1.6724308,1.3361368,0.70818007,9.46076,0.36857158,10.834339,1.0048586,33.351078,0.24507234,745.91614,0.23673299,1453.0771,0.121158436,-101.08977,-0.8748374,1819.4177,0.10837157,1081.7606,0.28807554,-100.67109,-0.8157274,2968.0984,0.083224095,1162.7115,0.2844782,-106.58004,-0.72427744,-17.903576,-0.41279903,30.190636,0.31649545,0.06805007,0.28446913,-0.018369202,-0.9465016,0.25404188,1.0440775,32.643375,0.31425682,7.7632422,1.1688088,3.8247914,4.5513406,-12.914021,-1.1105456,-2.1228936,12.036531,0.046920147,0.019806933,0.027819667,4.402516,2.6143792,0.21249999,0.11453711,0.20333333,0.16499159,-26.41868,163.133333,164.733333,disengaged
8,39.14822,0.12347018,35.759163,38.282047,42.810246,7.0510826,200.97873,340.02542,203.8375,458.0476,0.35946128,1.0214407,0.00980363,0.22995406,0.69772273,0.6879191,4.9304013,3.3392825,3.568985,2.1211638,0.12723616,1.316196,13.885484,1.1959825,2.4417825,5.2700396,-1.3745047,-10.986612,-15.387874,-1.324321,0.026507812,1.9599236,1.0502747,0.80570054,9.738752,0.43552005,7.0621395,1.9925016,24.07206,0.5145545,719.6944,0.28763878,1347.1545,0.17790198,-96.08519,-0.96402174,1756.769,0.13471867,1049.8419,0.35420668,-94.25053,-0.9188019,2878.869,0.08429962,968.69977,0.4765557,-98.73296,-0.83691376,-15.362205,-0.67836857,26.530664,0.4482318,0.06254295,0.34385952,-0.016351406,-1.1002201,0.2003368,0.8843647,23.719376,0.44523704,2.11869,6.8927455,-1.7733204,-10.200831,-26.340687,-0.6781224,-1.3017399,10.735189,0.03855751,0.028273512,0.019717176,2.026099,1.5829319,0.36760867,0.30390346,0.29394737,0.3807233,-27.168762,164.766667,193.9,engaged
9,36.79131,0.12444773,34.97387,35.778687,38.273182,3.2993126,64.763016,44.682243,-10.46533,31.51337,0.29484892,0.69806844,0.106506914,0.26029935,0.4834061,0.37689918,5.611314,3.4924579,4.2322245,3.557249,0.14632976,0.96196854,20.64376,1.0104697,18.177021,0.7273519,6.705265,1.741277,-0.9287805,-16.077095,0.031164061,2.3300538,1.3023432,0.62536186,9.132779,0.42846334,13.447052,0.56283474,34.078487,0.3329389,742.67804,0.23342408,1421.8374,0.17262062,-82.68364,-1.0022045,1867.2019,0.10416307,1137.3901,0.27290732,-88.97455,-0.81881815,2946.709,0.081437744,1090.5983,0.29985216,-92.04657,-0.76514703,-22.691313,-0.5282749,31.961672,0.40234137,0.056533895,0.3176984,-0.018771395,-0.8888831,0.19842577,0.70472115,29.315975,0.5105367,19.391611,0.69617313,7.7206225,1.5869647,-6.2095604,-2.3001184,-6.7189374,14.77009,0.0414198,0.013363112,0.046423048,5.1413884,3.3854167,0.19,0.19635133,0.09166667,0.0582857,-26.885746,193.933333,197.833333,disengaged
