F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
37.037937,0.12648365,35.26907,38.085938,39.30592,4.03685,50.619568,21.021223,128.17484,67.907936,0.77192247,0.60338455,0.43144917,0.6067752,0.9823674,0.5509182,8.277825,6.1839657,5.4695263,4.8527412,0.38737127,0.69621927,27.456833,0.2681133,6.016072,1.6205399,-3.4877875,-2.5840046,-8.854724,-0.9569328,0.028734809,1.3798378,1.4669211,0.4903902,5.4545813,0.5594453,4.9434786,2.3108053,23.870125,0.49771023,740.53217,0.24096493,1348.3998,0.14731571,-162.13614,-0.45135245,1772.8507,0.129737,1201.1096,0.33343625,-158.5479,-0.4562479,2823.8203,0.0906208,997.13385,0.24627104,-160.19908,-0.43358102,-12.518203,-0.60854167,25.58085,0.29278272,0.021505624,0.632443,-0.026290905,-0.4997332,0.5048371,0.63255286,29.147146,0.22271058,3.5372593,2.8541186,-5.47678,-1.8279581,-12.166752,-0.66344655,-11.824918,24.311033,0.013696193,-0.018582122,0.355247,2.6685393,2.6874118,0.075789474,0.07720893,0.262,0.17594317,-23.54258,0.0,7.133333,disengaged
37.427277,0.14051192,35.047455,37.80226,41.082176,6.0347214,260.27982,312.62204,68.57393,38.50226,0.6382688,0.40934008,0.43264857,0.553146,0.8436895,0.41104093,5.1231823,3.6815207,3.4179053,1.7615602,0.33138898,0.65351665,28.638977,0.18617664,10.907354,0.6977245,-3.8106341,-2.1304069,-11.582651,-0.8435111,0.038507048,1.6470684,1.4331912,0.47011438,5.0309706,0.60866463,4.7887325,2.1959825,30.730228,0.22235902,738.6915,0.20931381,1344.6879,0.14025488,-146.5725,-0.5550372,1781.6903,0.1296141,1096.1797,0.2323651,-147.76183,-0.51231563,2906.625,0.0808678,851.0073,0.35045612,-150.46567,-0.47675568,-16.350843,-0.3124651,28.09347,0.18246329,0.019027587,0.6653295,-0.032671787,-0.3284764,0.39617267,0.4989486,30.446142,0.15143897,10.354431,0.79283834,-6.286787,-1.5163817,-17.64856,-0.56069577,-14.769407,25.801683,0.00861444,-0.02421465,0.30756035,2.7465668,3.5714285,0.07298245,0.054867137,0.19017856,0.22325906,-24.452068,7.166667,23.2,engaged
38.96541,0.15597823,36.426353,39.713654,43.61972,7.193367,306.00232,260.66455,316.80853,379.6841,0.57910657,0.39642313,0.38502684,0.53461635,0.76606715,0.3810403,4.792725,2.7573125,2.3727298,1.5072082,0.27382565,0.48857734,29.281763,0.19829714,10.563857,0.72280353,-3.0286136,-3.0656579,-11.826182,-1.0020912,0.024445405,1.7188276,1.342778,0.48381847,6.506469,0.43930557,4.95648,2.2165515,28.888412,0.28083304,748.8512,0.2203253,1414.6418,0.14266089,-137.87933,-0.62619954,1769.1748,0.13300838,1193.8633,0.18305549,-134.48851,-0.6109154,2862.0615,0.088569514,972.79065,0.42817762,-137.91754,-0.5641076,-15.550617,-0.4272604,28.733593,0.20645043,0.02127622,0.5056907,-0.027658757,-0.43302673,0.34131512,0.40681365,31.199781,0.12606496,8.19633,1.1199173,-7.430833,-1.4866663,-18.349981,-0.63944197,-15.36252,26.77328,0.0076293224,-0.020548439,0.240981,2.9520295,2.793296,0.122666664,0.107298136,0.21399999,0.2524493,-25.697409,23.233333,28.666667,disengaged
42.16338,0.07195021,40.450912,42.37551,44.047104,3.5961914,36.454033,38.894463,9.1023855,19.054312,0.4970182,0.5694053,0.32329407,0.35255256,0.6524647,0.3291706,5.194467,3.698638,4.479199,2.8157718,0.21908994,0.64367265,29.03403,0.19611515,10.37917,0.62663835,-2.15827,-3.0443096,-11.451819,-0.93905175,0.020518187,1.3554752,1.1598725,0.52943504,8.285782,0.29178005,10.106458,1.0143907,28.710585,0.25936913,727.3241,0.22695878,1364.1383,0.12042729,-169.39508,-0.4192564,1742.2845,0.12905146,1183.8048,0.25643215,-163.80846,-0.4376246,2848.7732,0.08117531,826.3816,0.3910535,-165.1911,-0.41758165,-14.076924,-0.43853095,25.528162,0.26670724,0.013240211,0.99028194,-0.030769635,-0.3939846,0.3764946,0.4508394,27.24983,0.21440013,4.0326796,2.4480946,-8.801435,-0.9507633,-24.56979,-0.5142375,-15.46915,27.40854,0.0002374199,-0.022471203,0.18031484,1.5777262,1.0697675,0.17999999,0.14446302,0.73478264,1.315519,-27.05616,28.7,50.266667,engaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31560454,0.28922182,0.31711906,0.33176762,0.3448005,0.02768144,0.34117073,0.05120444,0.5314636,0.0,0.13403058,0.2873248,28.271404,0.3034333,10.16191,0.38700974,-0.11698804,-24.371855,-5.794794,-0.6407649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.249791,27.87868,0.009778713,-0.013149723,0.1426336,0.89285713,0.0,0.0,0.0,1.06,0.0,-34.91477,50.3,51.433333,disengaged
39.52297,0.13508661,34.918514,39.239536,44.190464,9.27195,595.6397,821.1008,43.147305,42.343536,0.5391136,0.39768007,0.37405533,0.46047124,0.6791251,0.30506974,3.389609,1.7665269,2.781062,1.8392588,0.29607788,0.44328088,32.572952,0.15855272,11.818384,0.48402366,-1.8922725,-2.9719615,-10.892521,-1.0368074,0.016218606,0.67825234,1.0888495,0.48640206,7.894262,0.4281364,9.96787,1.1316777,29.28348,0.27997476,718.7269,0.22398889,1394.2031,0.15399088,-170.82,-0.39707845,1795.7333,0.14559126,1154.5947,0.2913332,-167.96358,-0.395554,2866.532,0.08876343,931.4554,0.3409321,-168.98767,-0.38123733,-17.651958,-0.37683225,27.59027,0.31352502,0.018295472,0.8041317,-0.03271366,-0.32920653,0.3705739,0.31520507,29.58245,0.2475586,9.693338,0.8498412,-1.4794424,-5.346849,-24.225672,-0.6014692,-16.639183,30.184595,0.003561253,-0.025078945,0.2783366,2.4880383,1.1538461,0.15333332,0.12236103,0.6392307,0.65915406,-25.541546,51.466667,61.933333,engaged
37.910988,0.05280892,34.78712,38.93666,39.410686,4.6235657,81.21433,0.0,9.461182,16.563757,0.4023773,0.31750184,0.34756595,0.39801684,0.48197275,0.1344068,1.9775978,1.033128,1.8961754,0.9929147,0.20238432,0.43757674,29.141233,0.27500552,13.489023,0.47103894,-2.6811757,-2.633267,-5.6625295,-1.1902621,0.026962675,0.36414793,1.9119854,0.5835877,6.7678638,0.45504752,1.7338613,3.8549638,29.499224,0.17071943,735.5841,0.19371545,1354.1665,0.10083941,-176.67474,-0.33508107,1805.2635,0.10490199,1137.4625,0.11587906,-177.55098,-0.30178794,2902.361,0.08430257,1034.7734,0.3281385,-178.2486,-0.29283485,-19.916702,-0.28760567,31.954842,0.25081015,0.01271309,0.70927477,-0.029025383,-0.1476678,0.30148894,0.29479113,35.76962,0.05270304,14.619772,0.40068382,-2.4458659,-4.370802,-11.340619,-0.47403383,-16.467905,27.681814,0.009627965,-0.018279592,0.20172861,2.5806453,2.0,0.06,0.008164966,0.3125,0.18925841,-29.308136,61.966667,63.533333,disengaged
40.232647,0.12007284,36.873947,40.070164,43.745007,6.8710594,44.438915,24.533577,59.702274,50.338833,0.48029667,0.46886578,0.33894524,0.38775787,0.58658576,0.24764052,4.06392,3.9558618,2.4326258,2.0797,0.24461685,0.55687654,30.655052,0.172989,11.627372,0.5062906,-3.131143,-2.200486,-8.108845,-1.1549462,0.021382984,0.9272436,1.2617337,0.5537413,7.649862,0.44289485,7.880458,1.3975725,27.456383,0.69766945,763.29205,0.21828888,1350.2026,0.1676611,-172.8342,-0.38004187,1809.8567,0.14199723,1215.2496,0.30230215,-171.33955,-0.37208655,2880.6086,0.08624627,937.78357,0.31606877,-172.51329,-0.35433114,-16.931791,-0.39368582,28.274145,0.2577759,0.0154941445,1.3270963,-0.029959144,-0.48757422,0.40486157,0.5071825,29.828835,0.22873953,8.423675,1.157903,-7.581674,-1.4380548,-20.86553,-0.5730051,-16.219261,29.050089,-0.0023458968,-0.022132026,0.21336456,1.4274386,1.3524264,0.113823526,0.08973866,0.60499996,0.83798516,-26.7882,63.566667,88.8,engaged
38.593544,0.07254673,35.334267,39.753304,41.271645,5.937378,38.650955,0.0,4.4758472,20.93217,0.44245383,0.43758154,0.3244466,0.37745032,0.5837342,0.25928763,1.8474277,1.4716171,1.6928761,0.661788,0.21323916,0.53672606,29.588215,0.23649648,10.157946,0.52973753,-0.9844782,-7.227484,-7.2416763,-0.81963456,0.022223175,0.63294804,1.2280453,0.27222794,7.540001,0.2345518,6.3860245,0.77630675,28.6713,0.2151574,738.1931,0.16424938,1375.5323,0.07254818,-168.47633,-0.4099797,1683.9141,0.08223484,1127.5752,0.16248561,-165.46823,-0.4121873,2855.0217,0.060828257,805.4807,0.24304257,-167.89891,-0.3775302,-16.845114,-0.22396983,31.77579,0.12269354,0.006548973,1.4873867,-0.025203986,-0.38319823,0.31205532,0.39213645,34.707508,0.10555597,7.367074,0.69326395,-5.844755,-1.6750678,-12.973693,-0.44022545,-15.871189,27.762917,0.004069937,-0.015459548,0.20004101,1.9512196,1.5,0.12333333,0.03091206,0.52,0.3470831,-28.47558,88.833333,90.9,disengaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48057723,0.26456025,0.35209194,0.48447585,0.58228874,0.2301968,3.4396813,1.3990518,1.2922583,1.2759823,0.241916,0.36467496,32.231342,0.11650631,8.92677,0.5779285,-3.3254762,-2.71166,-7.5403957,-0.72381604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.431661,29.989555,-0.0031516112,-0.020552037,0.24446166,4.651163,0.0,0.0,0.0,1.23,0.0,-29.150423,90.933333,92.233333,engaged
