F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
38.670807,0.1298807,35.40066,39.065556,40.703568,5.302906,59.746635,83.8756,112.32331,127.351265,0.30671275,1.0031266,0.11934749,0.20956795,0.41410083,0.29475334,7.5656543,10.516518,5.7260227,7.513745,0.14315373,2.4789453,27.892704,0.28496492,9.48167,0.9432833,1.1953928,8.04031,-7.0932016,-1.6853042,0.01763832,0.8914887,0.9754241,0.7123556,9.863778,0.356386,9.144282,1.2956513,31.199766,0.3657702,729.2795,0.21628663,1335.8175,0.14041159,-129.45293,-0.6927213,1782.5985,0.09995951,1004.3237,0.29243195,-129.63371,-0.65030384,2957.4011,0.06308444,870.66547,0.41676787,-134.42816,-0.58377457,-18.858242,-0.37405795,30.48806,0.23123927,0.037661307,0.632968,-0.02557348,-0.5217481,0.1338398,1.1819704,31.167765,0.16841319,8.745041,1.1781338,-1.3802749,-8.241746,-15.649183,-0.74160904,-13.62707,24.477575,0.009704675,-0.0042710565,0.1509045,1.2571429,1.5654831,0.24878047,0.384506,0.37,0.37673175,-26.1929,0.0,26.266667,engaged
37.535927,0.076500684,35.585453,36.514084,39.10909,3.5236359,25.993898,13.532682,7.8148484,6.8982577,0.6376162,0.41390124,0.42614987,0.5619224,0.84236884,0.41621897,3.1889517,2.0750747,3.109398,1.1142644,0.27133936,0.62788534,30.185621,0.26068136,9.121849,1.2108783,-0.5457498,-21.574415,-8.148059,-1.6758235,0.018923452,0.8297272,0.9130361,0.49319544,9.723837,0.34392542,11.784021,0.7765078,32.496555,0.26843524,797.5265,0.2412173,1394.5363,0.19394322,-36.79773,-1.5632069,1852.0774,0.13513976,1090.5929,0.27927244,-47.10449,-1.0838499,2984.2512,0.095633045,956.2757,0.21703154,-54.56609,-0.886314,-19.399033,-0.36279482,29.814077,0.25857502,0.047687195,0.37863034,-0.015736869,-0.96357757,0.2945339,0.5737097,31.682875,0.20015205,9.661715,1.0977311,-0.2860826,-43.436043,-10.313829,-1.2259078,-9.955381,20.48275,0.01756633,0.0048343837,0.1400455,3.4653466,1.0204082,0.87,0.28,0.089999996,0.01,-22.512089,26.3,28.333333,disengaged
35.545918,0.08489399,34.52881,35.610172,37.6453,3.1164932,117.94317,100.025764,36.766975,12.689464,0.5880738,0.57746404,0.26536262,0.5397243,0.87276447,0.60740185,3.6268308,1.8302319,1.524376,2.0620384,0.23921803,0.8028867,26.24768,0.29937485,3.8650696,2.1774118,-9.794387,-0.94192266,-6.014196,-2.195653,0.027105572,2.0213919,1.0909203,0.5424926,7.872672,0.45275247,5.9654493,1.3282769,32.548935,0.2830894,740.549,0.24249741,1424.0701,0.16803144,-92.696045,-1.0214128,1740.392,0.148466,1180.1814,0.23474644,-94.46991,-0.9246473,2890.961,0.09451125,1015.86835,0.31009758,-102.02879,-0.79327846,-12.572913,-0.61080873,29.545933,0.17950287,0.047131587,0.50055087,-0.015837396,-0.898593,0.32188126,0.5305867,31.46798,0.17182283,5.513628,1.3855072,-12.003418,-0.8610132,-13.039274,-0.79466873,-7.0671287,18.056726,0.014925025,0.006476683,0.10082743,2.7906978,1.904762,0.29749998,0.14872374,0.2075,0.21695334,-24.935858,28.366667,30.533333,engaged
37.237816,0.109436505,35.17176,37.827755,39.9279,4.756138,383.86026,515.36346,13.235254,6.0438356,0.5519464,0.4793597,0.3016568,0.4870845,0.76879853,0.46714172,5.608622,2.636412,4.0782943,2.0650709,0.2635733,0.918783,27.389595,0.3633222,9.980683,1.2779912,-4.8427854,-2.056707,-10.3495245,-1.2710296,0.018707186,1.4228674,0.96522,0.66403943,10.621658,0.2836295,10.930083,0.77674973,33.7821,0.21637085,811.5787,0.19626181,1364.2601,0.16611873,-86.915054,-0.9886093,1844.2295,0.12440912,1125.3414,0.25458872,-92.202194,-0.85575634,2996.8203,0.08241487,939.0625,0.22727354,-97.97256,-0.76028097,-20.45085,-0.45628333,33.06442,0.26347843,0.051558953,0.303764,-0.021605281,-0.68940485,0.33231613,0.74889064,32.551342,0.17767534,13.210885,0.90657365,-4.22061,-2.5883298,-15.480249,-0.7790085,-7.5042434,18.2465,0.02628806,0.0010507128,0.14543875,4.109589,2.1052632,0.295,0.20966244,0.16,0.17654082,-20.394258,30.566667,33.5,disengaged
35.490307,0.149055,33.772854,35.76154,38.56311,4.7902565,109.768555,115.28922,115.00549,132.78885,0.37804005,0.90367246,0.14928377,0.2550105,0.5739722,0.42468846,5.300117,3.394849,3.3059351,2.752057,0.12981816,1.341713,23.321917,0.36047772,6.481661,1.6534458,3.4218771,3.4448724,-7.9151063,-2.05734,0.023763731,2.0162585,1.1217074,0.59232074,7.205195,0.48202926,0.33899623,56.240322,18.970833,0.7017768,707.40967,0.2801811,1345.7766,0.17579465,-134.96188,-0.6659194,1746.2627,0.13983345,1066.5409,0.34674758,-133.62865,-0.64594316,2813.1697,0.09821323,918.6552,0.4513188,-135.49934,-0.6190861,-13.158164,-0.5430003,23.151302,0.38700843,0.024978139,0.9621474,-0.021439878,-0.6657583,0.22210735,1.0924356,25.0051,0.3134908,1.7501273,7.3163605,0.89063287,17.267942,-20.961355,-0.7668227,-12.658665,22.801033,0.0042346865,-0.0038577453,0.07737418,1.5438315,1.7598066,0.19824426,0.18988337,0.35527128,0.5872813,-27.979088,33.533333,108.033333,engaged
42.101143,0.037854306,40.730057,41.55969,44.03449,3.304432,35.416603,13.198916,25.146677,36.542915,0.19911794,0.5413643,0.12944303,0.16761708,0.24957952,0.120136485,1.8684328,1.6516398,1.7596978,0.96549326,0.0523892,1.2499107,19.293478,0.36375946,7.081829,0.8897698,3.8822837,1.4230052,2.3492928,2.5969694,0.024531474,0.6665973,1.1500762,0.69008434,9.704666,0.25698054,14.30724,0.24275,24.446596,0.2949252,861.6892,0.16911341,1266.5466,0.121916935,-196.58727,-0.1329415,1876.1619,0.101074584,1052.513,0.1728156,-196.20473,-0.13516203,2922.2383,0.06994409,874.60254,0.23448683,-196.39148,-0.12974411,-18.110622,-0.21060802,29.67319,0.11388065,0.025627354,0.45613447,-0.008355427,-1.1662563,0.10800461,0.29648018,24.915003,0.2782467,10.379546,0.30817816,1.0008199,6.400088,-7.403211,-0.8265042,-9.8429985,20.12759,0.0052448832,0.0056675477,0.051020954,1.7997751,0.3393665,0.07333333,0.036817867,2.1375,1.5849823,-40.94428,108.066667,116.966667,disengaged
37.132755,0.08927068,35.007057,36.910233,39.603622,4.5965652,249.26205,444.18213,43.77108,81.69769,0.21270463,0.89360195,0.112201035,0.14659788,0.26405528,0.15185425,5.4405446,9.698572,1.6491224,2.0681932,0.07513986,1.8633463,26.002878,0.25518095,9.9906435,0.78391236,4.359514,1.9381299,-2.2644649,-5.084233,0.020722963,1.2122363,1.143988,0.54929215,8.128011,0.36301348,2.378946,4.701842,21.946484,0.63949287,729.6455,0.21677695,1343.7708,0.16127616,-171.68207,-0.39090106,1793.0803,0.12255537,1037.3077,0.34301898,-171.36288,-0.37715793,2863.5093,0.07970686,852.8582,0.44204932,-172.0711,-0.3662833,-16.271217,-0.37118486,25.21444,0.2917145,0.030091213,0.6023291,-0.02143285,-0.6092569,0.14043649,0.86791825,26.953848,0.22108892,7.7262387,1.3809317,5.4669886,2.5192153,-20.95939,-0.603197,-14.195977,25.499523,0.0022580118,-0.000839578,0.06144615,0.75839657,0.93275493,0.1688372,0.14846829,0.9040476,2.2460845,-33.597076,117.0,163.166667,engaged
37.1785,0.09741717,34.836132,36.984673,39.16574,4.329609,136.48251,143.737,26.663479,19.243277,0.62826735,0.69743216,0.3171801,0.5530373,0.80523175,0.48805165,5.274364,5.8229384,5.109529,6.5246143,0.2826677,1.0033361,23.642235,0.46618643,5.7966633,1.9844214,-6.7966824,-1.5705404,-5.418976,-2.5416176,0.029009936,2.0250037,1.0410372,0.58619183,8.222416,0.4283558,10.100607,1.0394317,29.475462,0.52743125,750.33405,0.25067762,1430.3644,0.14797309,-92.036385,-0.9932187,1764.8773,0.12793733,1227.6084,0.2562239,-93.51318,-0.8949958,2890.7275,0.098121166,963.34247,0.3218991,-98.45622,-0.8087654,-14.873242,-0.62056214,29.003016,0.3124498,0.05404092,0.3558917,-0.013515122,-1.1326944,0.3784494,0.80741686,28.004265,0.30148125,6.630817,1.9408464,-6.7490497,-1.8403141,-11.947769,-1.0351319,-6.885315,18.260887,0.017184578,0.003740992,0.13884968,1.8046709,2.3504274,0.24818182,0.26769447,0.18157893,0.23764771,-22.308567,163.2,172.633333,disengaged
38.96054,0.09208053,36.710423,37.986088,40.498093,3.7876701,65.54335,49.590664,17.91401,7.019946,0.51782125,0.790341,0.24825558,0.3984147,0.65113306,0.40287748,6.293317,3.8218596,4.028387,3.1186717,0.24521442,1.2577192,26.354721,0.3813861,4.534727,2.7909033,-2.194347,-5.0238934,-4.5194135,-2.8491428,0.025372483,1.0944767,1.1285701,0.7450172,10.11077,0.3042267,11.281482,0.8276093,32.427364,0.2676234,780.83923,0.24051309,1400.2375,0.13595395,-116.49458,-0.76471645,1817.806,0.11434566,1159.4548,0.24490836,-116.1964,-0.7148168,2946.4983,0.08495412,1061.2113,0.23482226,-120.88359,-0.6473512,-17.945604,-0.5110059,29.509108,0.37625453,0.054058135,0.41904557,-0.020790871,-0.6090209,0.36135027,1.0781252,30.074085,0.2895999,6.637913,2.2374847,-2.2316577,-5.932206,-14.6280575,-0.56099194,-8.927603,21.031836,0.017381165,0.0034794076,0.13836862,2.6262627,2.4489796,0.19083333,0.11397795,0.18153846,0.21700218,-23.742859,172.666667,177.633333,engaged
35.38079,0.013249637,34.772064,35.619312,35.753777,0.98171234,12.872582,0.0,-5.01976,0.0,0.2145387,0.40219417,0.1647159,0.18276888,0.23459427,0.06987837,1.2868941,0.8898888,1.0521673,0.75911164,0.061222617,0.8231147,25.82208,0.15310669,1.5549393,2.2793264,1.4052062,4.307231,4.626171,2.2364795,0.025179168,1.0621945,1.406156,0.4518597,7.089392,0.1436032,-3.5324545,-1.8127747,24.432415,0.16328657,750.9817,0.16014974,1546.9231,0.1239273,-177.7318,-0.34827614,1680.4104,0.07858603,1304.9319,0.1495113,-179.47855,-0.3184917,2950.8723,0.024474269,831.4305,0.20699632,-180.7608,-0.29702312,-12.663119,-0.19425543,26.343939,0.13382272,0.034525957,0.46948597,-0.01382564,-0.6113619,0.14195347,0.25105572,29.531864,0.08928822,0.8080937,5.085049,-10.384364,-0.7534228,-19.791542,-0.64126414,-9.273558,22.1647,0.006112894,0.005903107,0.04932625,2.6845636,0.6944445,0.16,0.0,0.625,0.33499998,-39.207314,177.666667,179.166667,disengaged
