Participant,Fold,Accuracy,Precision,Recall,F1 Score
p11,1,0.6503067484662577,0.6666666666666666,0.5925925925925926,0.6274509803921569
p11,2,0.6851851851851852,0.7027027027027027,0.6419753086419753,0.6709677419354839
p11,3,0.6481481481481481,0.6875,0.5432098765432098,0.6068965517241379
p11,4,0.6851851851851852,0.7230769230769231,0.5875,0.6482758620689655
p11,5,0.6296296296296297,0.6515151515151515,0.5375,0.589041095890411
p12,1,0.5860215053763441,0.5949367088607594,0.5108695652173914,0.5497076023391813
p12,2,0.5860215053763441,0.5869565217391305,0.5806451612903226,0.5837837837837838
p12,3,0.6216216216216216,0.6170212765957447,0.6304347826086957,0.6236559139784946
p12,4,0.5945945945945946,0.6075949367088608,0.5217391304347826,0.5614035087719298
p12,5,0.6,0.6071428571428571,0.5543478260869565,0.5795454545454546
p17,1,0.6271186440677966,0.6052631578947368,0.7666666666666667,0.6764705882352942
p17,2,0.7288135593220338,0.7241379310344828,0.7241379310344828,0.7241379310344828
p17,3,0.6551724137931034,0.6666666666666666,0.6206896551724138,0.6428571428571429
p17,4,0.6724137931034483,0.75,0.5172413793103449,0.6122448979591837
p17,5,0.5172413793103449,0.5142857142857142,0.6206896551724138,0.5625
p18,1,0.6502732240437158,0.7014925373134329,0.5164835164835165,0.5949367088607594
p18,2,0.6885245901639344,0.7125,0.6263736263736264,0.6666666666666666
p18,3,0.6994535519125683,0.7368421052631579,0.6153846153846154,0.6706586826347305
p18,4,0.6538461538461539,0.6708860759493671,0.5888888888888889,0.6272189349112426
p18,5,0.6208791208791209,0.6206896551724138,0.6,0.6101694915254238
p5,1,0.6619718309859155,0.6304347826086957,0.8055555555555556,0.7073170731707317
p5,2,0.6619718309859155,0.65,0.7222222222222222,0.6842105263157895
p5,3,0.6197183098591549,0.6,0.8108108108108109,0.6896551724137931
p5,4,0.6197183098591549,0.6470588235294118,0.5945945945945946,0.6197183098591549
p5,5,0.7571428571428571,0.8064516129032258,0.6944444444444444,0.746268656716418
p7,1,0.7708333333333334,0.76,0.7916666666666666,0.7755102040816326
p7,2,0.6666666666666666,0.66,0.6875,0.673469387755102
p7,3,0.7291666666666666,0.7619047619047619,0.6666666666666666,0.7111111111111111
p7,4,0.75,0.7608695652173914,0.7291666666666666,0.7446808510638298
p7,5,0.6736842105263158,0.660377358490566,0.7291666666666666,0.693069306930693
p9,1,0.5876288659793815,0.5740740740740741,0.6458333333333334,0.6078431372549019
p9,2,0.6875,0.6956521739130435,0.6666666666666666,0.6808510638297872
p9,3,0.6666666666666666,0.7,0.5833333333333334,0.6363636363636364
p9,4,0.65625,0.6923076923076923,0.5625,0.6206896551724138
p9,5,0.5625,0.6470588235294118,0.23404255319148937,0.34375
