Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,16,0.2,0.001,0.0,0.656441717791411,0.7049180327868853,0.5308641975308642,0.6056338028169014,0.6958747365251431
p11,2,16,16,0.2,0.001,0.0,0.6419753086419753,0.6666666666666666,0.5679012345679012,0.6133333333333333,0.6913580246913579
p11,3,16,16,0.2,0.001,0.0,0.6049382716049383,0.6075949367088608,0.5925925925925926,0.6,0.6605700350556317
p11,4,16,16,0.2,0.001,0.0,0.654320987654321,0.6714285714285714,0.5875,0.6266666666666667,0.6839939024390244
p11,5,16,16,0.2,0.001,0.0,0.5555555555555556,0.75,0.15,0.25,0.6269817073170731
p11,1,16,16,0.2,0.001,0.0001,0.6380368098159509,0.6617647058823529,0.5555555555555556,0.6040268456375839,0.6504065040650406
p11,2,16,16,0.2,0.001,0.0001,0.6481481481481481,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.7049230300259107
p11,3,16,16,0.2,0.001,0.0001,0.6234567901234568,0.631578947368421,0.5925925925925926,0.6114649681528662,0.6431946349641823
p11,4,16,16,0.2,0.001,0.0001,0.6790123456790124,0.6944444444444444,0.625,0.6578947368421053,0.711890243902439
p11,5,16,16,0.2,0.001,0.0001,0.5493827160493827,0.5309734513274337,0.75,0.6217616580310881,0.5945121951219512
p11,1,16,16,0.2,0.0005,0.0,0.6625766871165644,0.6805555555555556,0.6049382716049383,0.6405228758169934,0.6934658235471243
p11,2,16,16,0.2,0.0005,0.0,0.6358024691358025,0.6309523809523809,0.654320987654321,0.6424242424242425,0.6468526139308032
p11,3,16,16,0.2,0.0005,0.0,0.6358024691358025,0.6410256410256411,0.6172839506172839,0.6289308176100629,0.6681908245694254
p11,4,16,16,0.2,0.0005,0.0,0.6666666666666666,0.696969696969697,0.575,0.6301369863013698,0.7007621951219514
p11,5,16,16,0.2,0.0005,0.0,0.5679012345679012,0.5625,0.5625,0.5625,0.5957317073170731
p11,1,16,16,0.2,0.0005,0.0001,0.6748466257668712,0.6891891891891891,0.6296296296296297,0.6580645161290323,0.716651610960554
p11,2,16,16,0.2,0.0005,0.0001,0.6604938271604939,0.6625,0.654320987654321,0.6583850931677019,0.7101051668952905
p11,3,16,16,0.2,0.0005,0.0001,0.654320987654321,0.676056338028169,0.5925925925925926,0.631578947368421,0.668648071940253
