Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.6226463682496401,0.6801216415181968,0.48577160493827154,0.5391267605633804,0.671755681205646
16,16,0.2,0.001,0.0001,0.6276073619631901,0.6345215405737612,0.6305555555555555,0.6273315285251815,0.6609853216159047
16,16,0.2,0.0005,0.0,0.6337499053245474,0.6424006549006549,0.6028086419753086,0.6209029844305337,0.6610006328972755
16,16,0.2,0.0005,0.0001,0.6559569794743619,0.6645033091345174,0.6228086419753087,0.6427005994597662,0.6823126772762926
16,16,0.3,0.001,0.0,0.6349466030447626,0.6540116469323289,0.6753395061728396,0.6473055762019131,0.676260604049799
16,16,0.3,0.001,0.0001,0.6214118003484057,0.6413702678014982,0.4609876543209876,0.5031667183391321,0.6646997315995108
16,16,0.3,0.0005,0.0,0.6325229114595168,0.6808262301751347,0.48808641975308636,0.5273291389129009,0.674698095917859
16,16,0.3,0.0005,0.0001,0.5894493675679771,0.6839160839160838,0.3302777777777778,0.39355338907110127,0.666232625529273
16,16,0.4,0.001,0.0,0.6238203438612435,0.6579506267681201,0.5131481481481481,0.5678242825293095,0.6772504888457664
16,16,0.4,0.001,0.0001,0.6288040596834052,0.6292484802343957,0.47558641975308646,0.5160268489096687,0.6601009940483493
16,16,0.4,0.0005,0.0,0.6472847080209043,0.6597358197358199,0.6026543209876543,0.6280969668900629,0.6795648110973566
16,16,0.4,0.0005,0.0001,0.5968340528667728,0.6022489046641895,0.5325308641975308,0.530725664047501,0.6573512412593262
16,16,0.5,0.001,0.0,0.6423615844883739,0.6617194970271021,0.600679012345679,0.6246181400948746,0.6790854494964702
16,16,0.5,0.001,0.0001,0.6399075967583124,0.6448087714754381,0.6075925925925925,0.6245842288947312,0.6792332045234033
16,16,0.5,0.0005,0.0,0.6374308869196395,0.6523493899662123,0.6628086419753088,0.6416055971119569,0.676597140902822
16,16,0.5,0.0005,0.0001,0.6177989850791488,0.6092454661284368,0.7120061728395062,0.6484250746228968,0.6767302305567637
16,32,0.2,0.001,0.0,0.6571688252669847,0.6655246309584208,0.6277160493827161,0.6452971955580651,0.6737353996825289
16,32,0.2,0.001,0.0001,0.6288192077558131,0.6334043257302019,0.6178086419753086,0.6232579274737229,0.6645467535436671
16,32,0.2,0.0005,0.0,0.6250852079072937,0.6297676008202323,0.5028086419753086,0.5194896915385467,0.6693943935152656
16,32,0.2,0.0005,0.0001,0.63626448534424,0.6258380018674135,0.6671296296296296,0.6442802734011248,0.6770159218738965
16,32,0.3,0.001,0.0,0.6337574793607513,0.632404048487923,0.6300308641975307,0.6302875085033238,0.6761534808420786
16,32,0.3,0.001,0.0001,0.6214345224570174,0.6231723125840773,0.6025925925925926,0.6083645697390438,0.6639249482343932
16,32,0.3,0.0005,0.0,0.6214269484208135,0.6270105913619523,0.5128086419753086,0.5398181315054424,0.6687580111226352
16,32,0.3,0.0005,0.0001,0.6325607816405363,0.6367788802976547,0.6129938271604939,0.6222650097138741,0.6690370156616519
16,32,0.4,0.001,0.0,0.623865788078467,0.5324943478069107,0.4928395061728395,0.5112453987730061,0.6560705675815331
16,32,0.4,0.001,0.0001,0.6288040596834052,0.6326948356807511,0.5878395061728395,0.6084080044034277,0.6655961455533623
16,32,0.4,0.0005,0.0,0.6043096266000152,0.7154323154323154,0.4268827160493826,0.46036417797558976,0.6731587614915929
16,32,0.4,0.0005,0.0001,0.6399378929031281,0.6615632597644533,0.5604629629629629,0.6027212292372308,0.6794715679495615
16,32,0.5,0.001,0.0,0.6312504733772628,0.6535323990547872,0.5253086419753086,0.5656943657175713,0.6743017451607985
16,32,0.5,0.001,0.0001,0.6300764977656593,0.6311469307487007,0.6650925925925926,0.6428691168041247,0.6755296216370943
16,32,0.5,0.0005,0.0,0.6164735287434674,0.6240411231370135,0.6902469135802469,0.6423175115482808,0.6705075352879728
16,32,0.5,0.0005,0.0001,0.6300462016208438,0.6434229451669722,0.5678086419753086,0.5996200905405364,0.6577404126750459
16,64,0.2,0.001,0.0,0.6177156706809058,0.6363783433994823,0.6306172839506173,0.6196521591972408,0.6499182252110588
16,64,0.2,0.001,0.0001,0.657221843520412,0.6750791104320516,0.5954012345679013,0.6320358284737736,0.6834690019739704
16,64,0.2,0.0005,0.0,0.6078769976520487,0.6142454278586655,0.6230555555555556,0.6121782063534156,0.6550527646737372
16,64,0.2,0.0005,0.0001,0.6362114670908127,0.6699078929402724,0.5411419753086419,0.5936056351416894,0.6618201465793808
16,64,0.3,0.001,0.0,0.6300916458380671,0.6362985343189584,0.6556172839506174,0.6349257086448016,0.6836870355500537
16,64,0.3,0.001,0.0001,0.6214269484208135,0.6285126213208404,0.5954012345679012,0.6104082845259317,0.6603234374593404
16,64,0.3,0.0005,0.0,0.6349466030447626,0.65869199137153,0.5253703703703704,0.5660235099959691,0.6679994079947658
16,64,0.3,0.0005,0.0001,0.6214269484208135,0.6413063797595057,0.5107098765432099,0.5532822141436033,0.6593040778658816
16,64,0.4,0.001,0.0,0.6164659547072635,0.6292953001182471,0.5979629629629629,0.6098596693267995,0.6514666767038041
16,64,0.4,0.001,0.0001,0.634984473225782,0.6413557632566071,0.5977777777777777,0.6181685655972269,0.6715673408277293
16,64,0.4,0.0005,0.0,0.654745133681739,0.654103932699823,0.6625925925925926,0.6552953348628293,0.6895202294787007
16,64,0.4,0.0005,0.0001,0.6177611148981292,0.6222851360911063,0.6254012345679013,0.6201062896644809,0.6573363946602429
16,64,0.5,0.001,0.0,0.638665454820874,0.6522442801606017,0.5930555555555556,0.6206249217387704,0.6801386007858705
16,64,0.5,0.001,0.0001,0.6275846398545786,0.645002161818578,0.6006481481481483,0.6150685993169264,0.6669810288809336
16,64,0.5,0.0005,0.0,0.6153071271680679,0.6152377140264904,0.6279012345679013,0.6195487459879945,0.6518980830926279
16,64,0.5,0.0005,0.0001,0.6299931833674165,0.6369182284480069,0.6803086419753086,0.6477377268088754,0.6685695963955525
32,16,0.2,0.001,0.0,0.6337196091797319,0.6715337738982672,0.5334567901234568,0.5917102297838752,0.6698423704744592
32,16,0.2,0.001,0.0001,0.6485419980307505,0.6700397438486119,0.5678703703703704,0.6134683187960499,0.6752158728034467
32,16,0.2,0.0005,0.0,0.6287813375747937,0.6908021127220414,0.4929320987654321,0.5348441520124563,0.6659728727774247
32,16,0.2,0.0005,0.0001,0.6460577141558737,0.6530303221064091,0.6324382716049384,0.6371972600855893,0.6706183387794098
