Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,16,0.2,0.001,0.0,0.6380368098159509,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6683227943390545
p11,2,16,16,0.2,0.001,0.0,0.6419753086419753,0.6017699115044248,0.8395061728395061,0.7010309278350515,0.7133058984910837
p11,3,16,16,0.2,0.001,0.0,0.5987654320987654,0.5952380952380952,0.6172839506172839,0.6060606060606061,0.6607224508459076
p11,4,16,16,0.2,0.001,0.0,0.6851851851851852,0.704225352112676,0.625,0.6622516556291391,0.728048780487805
p11,5,16,16,0.2,0.001,0.0,0.5864197530864198,0.6326530612244898,0.3875,0.4806201550387597,0.6342987804878049
p11,1,16,16,0.2,0.001,0.0001,0.6625766871165644,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.6764528756398676
p11,2,16,16,0.2,0.001,0.0001,0.6358024691358025,0.6309523809523809,0.654320987654321,0.6424242424242425,0.6819082456942539
p11,3,16,16,0.2,0.001,0.0001,0.6234567901234568,0.625,0.6172839506172839,0.6211180124223602,0.6643804298125287
p11,4,16,16,0.2,0.001,0.0001,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7382621951219512
p11,5,16,16,0.2,0.001,0.0001,0.5123456790123457,0.6666666666666666,0.025,0.04819277108433735,0.6541158536585366
p11,1,16,16,0.2,0.0005,0.0,0.656441717791411,0.6666666666666666,0.6172839506172839,0.6410256410256411,0.6582354712436014
p11,2,16,16,0.2,0.0005,0.0,0.6728395061728395,0.675,0.6666666666666666,0.6708074534161491,0.7360158512421887
p11,3,16,16,0.2,0.0005,0.0,0.6296296296296297,0.6329113924050633,0.6172839506172839,0.625,0.6549306508154245
p11,4,16,16,0.2,0.0005,0.0,0.6728395061728395,0.684931506849315,0.625,0.6535947712418301,0.7391768292682926
p11,5,16,16,0.2,0.0005,0.0,0.5987654320987654,0.5688073394495413,0.775,0.656084656084656,0.6259146341463415
p11,1,16,16,0.2,0.0005,0.0001,0.6319018404907976,0.64,0.5925925925925926,0.6153846153846154,0.6555254441433302
p11,2,16,16,0.2,0.0005,0.0001,0.49382716049382713,0.3333333333333333,0.012345679012345678,0.023809523809523808,0.636335924401768
p11,3,16,16,0.2,0.0005,0.0001,0.6234567901234568,0.6351351351351351,0.5802469135802469,0.6064516129032258,0.6515775034293552
