Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.6062481836675385,0.6052993627075531,0.6596072931276298,0.6161842980513186,0.6175567371073468
16,16,0.2,0.001,0.0001,0.5943853530950305,0.5993144220476722,0.553155680224404,0.5741826582784693,0.6216815850014049
16,16,0.2,0.0005,0.0,0.574954954954955,0.5526458373266884,0.47265077138849937,0.4951059435373522,0.6082232052621891
16,16,0.2,0.0005,0.0001,0.5976227840743971,0.6054607604249224,0.5507713884992987,0.5715986981871672,0.6372344489890389
16,16,0.3,0.001,0.0,0.6030456262714327,0.6112667491238919,0.5660589060308554,0.5849126656072974,0.6316606760161886
16,16,0.3,0.001,0.0001,0.5965358907294391,0.606265758846404,0.5421458625525947,0.5709817298244967,0.6337577352496142
16,16,0.3,0.0005,0.0,0.6084394071490845,0.6142050480900447,0.5682094436652642,0.5870440732210307,0.6327851262448568
16,16,0.3,0.0005,0.0001,0.5955013077593723,0.6037432133084307,0.5530621785881252,0.5756959282604657,0.6223487601407081
16,16,0.4,0.001,0.0,0.6008544027898867,0.6096436267858568,0.5465638148667602,0.5750318607631938,0.6207756020625121
16,16,0.4,0.001,0.0001,0.6063121185701831,0.6047393334405933,0.6031089294062646,0.602705554664642,0.6178826077437367
16,16,0.4,0.0005,0.0,0.6159953501888986,0.624063377267665,0.5748480598410473,0.5976743049150044,0.6490813186147939
16,16,0.4,0.0005,0.0001,0.6170880557977332,0.6213399359280504,0.592192613370734,0.6047425359580952,0.6381705429416051
16,16,0.5,0.001,0.0,0.5825108979947691,0.5872258924246356,0.6378447872837775,0.5969357328146812,0.6359117730453672
16,16,0.5,0.001,0.0001,0.607369950595757,0.6180554149331315,0.563908368396447,0.5869539071670246,0.6334908860504693
16,16,0.5,0.0005,0.0,0.5954431851206046,0.6058327656005492,0.581229546517064,0.5822979044364367,0.61422952758571
16,16,0.5,0.0005,0.0001,0.5998081952920662,0.6112276892643503,0.5487143525011688,0.576138333009973,0.6387356117699114
16,32,0.2,0.001,0.0,0.6051554780587038,0.6093403248037395,0.5813464235624124,0.5923899422003316,0.6349606890970054
16,32,0.2,0.001,0.0001,0.6008892763731474,0.5970051576061556,0.6095605423094904,0.6026103388373235,0.6256731540245332
16,32,0.2,0.0005,0.0,0.6019645451903516,0.6111840121207625,0.5486676016830294,0.5759028978614297,0.6332737797859986
16,32,0.2,0.0005,0.0001,0.6148852077884335,0.623331936880324,0.57260402057036,0.59405457369589,0.6294539780389877
16,32,0.3,0.001,0.0,0.6105841325196164,0.6128961683416996,0.5879149135109865,0.5994220412473157,0.6336958420222365
16,32,0.3,0.001,0.0001,0.5987038651554781,0.6005955796924598,0.572674146797569,0.5857061860424877,0.6298707539352884
16,32,0.3,0.0005,0.0,0.6181575123510608,0.6261876257993835,0.5769752220663862,0.5976425329056908,0.6373879828043411
16,32,0.3,0.0005,0.0001,0.6073350770124964,0.6149411709447876,0.5661290322580645,0.5875959830791662,0.634603549639561
16,32,0.4,0.001,0.0,0.5987213019471084,0.6031475633774485,0.5661290322580645,0.5837831071925642,0.6313951022769071
16,32,0.4,0.001,0.0001,0.6030340017436792,0.5978580942866658,0.6551192145862552,0.6171283450100866,0.6251389422335939
16,32,0.4,0.0005,0.0,0.5944027898866608,0.597384996585261,0.5661524076671343,0.5791662799621344,0.6288956020325642
16,32,0.4,0.0005,0.0001,0.6030281894798024,0.6042839105339106,0.583356708742403,0.591593488277607,0.6370393169995323
16,32,0.5,0.001,0.0,0.5901075268817204,0.5932792207792208,0.5681860682561946,0.5784147149449931,0.6163926647313902
16,32,0.5,0.001,0.0001,0.5944318512060447,0.5964307112306212,0.5791023842917251,0.5853426124006342,0.6263994415143628
16,32,0.5,0.0005,0.0,0.5900959023539668,0.6018906448001473,0.600888265544647,0.5795608817551169,0.6081834841798589
16,32,0.5,0.0005,0.0001,0.6030165649520488,0.6083027206764073,0.5640018700327255,0.5832842942420366,0.6329742579577733
16,64,0.2,0.001,0.0,0.607369950595757,0.618285929756518,0.5552828424497429,0.5814710720891237,0.6361488080359641
