,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,36.955162,0.065314546,34.78412,36.88909,39.08305,4.298931,161.68077,219.56927,31.794632,21.609812,0.2838168,0.7853711,0.09697279,0.22685704,0.4481146,0.3511418,6.1719365,3.718046,4.0300303,2.6935363,0.12916483,0.9536533,27.722677,0.47148556,10.162158,1.129674,-0.81521875,-15.332135,-12.840386,-0.9867057,0.025485404,1.0491446,1.604983,0.74668455,8.501673,0.3697433,12.829436,0.72747755,35.14416,0.24453448,746.4562,0.24627754,1399.8336,0.17732091,-75.6158,-1.09592,1839.6531,0.12061144,1159.3102,0.29649782,-81.83492,-0.89306694,2910.4429,0.08449237,1066.203,0.26571774,-86.12993,-0.8176041,-19.459639,-0.4090358,33.188965,0.26971346,0.058665372,0.35288328,-0.020942323,-0.732934,0.16201304,0.7907121,32.721817,0.26104003,9.581755,1.1180005,-0.9516647,-14.731705,-16.067793,-0.7992377,-11.015845,21.597511,0.04888721,-0.00053917087,0.05441704,3.792135,3.2531826,0.20565218,0.18148723,0.09149999,0.08162567,-30.06512,0.0,7.133333,disengaged
1,37.163082,0.08141192,35.052174,36.58314,39.101574,4.0494003,221.34718,511.6515,54.56944,69.08103,0.29638216,0.8719116,0.07023031,0.24310642,0.4905161,0.4202858,5.36378,3.4850535,3.9936054,2.5524936,0.13009505,1.1177645,21.823551,0.8445279,13.030448,1.0143574,-3.193361,-4.8207693,-16.386591,-0.9983251,0.02209408,1.1915556,1.170038,0.779163,8.93083,0.418318,9.245326,1.2980565,35.421772,0.27480054,735.7447,0.22407289,1384.4802,0.15244667,-82.60376,-1.0768741,1849.3466,0.11564904,1141.18,0.27092057,-90.79127,-0.85174084,2939.02,0.07084848,970.4758,0.2971421,-94.744125,-0.7838361,-21.218828,-0.43643096,33.444782,0.29002386,0.0621269,0.27984625,-0.027582986,-0.54139805,0.18018752,0.83567846,30.85886,0.3472593,11.975542,1.128273,-2.946137,-5.762182,-22.921686,-0.6415681,-7.0094695,15.503567,0.043119356,0.009051021,0.038707934,3.1210985,2.8195488,0.22022222,0.2056263,0.14055555,0.17677581,-28.167612,7.166667,23.2,engaged
2,39.091084,0.10413227,36.45829,39.498352,41.98378,5.52549,125.956024,188.14352,86.46943,106.07333,0.34976932,0.8874133,0.05168625,0.2649428,0.6305016,0.5788154,6.7702084,4.4339743,3.1137362,1.7734886,0.13615729,0.9965532,20.096972,0.75770164,9.853916,1.5974982,-6.5567384,-2.5688686,-18.660046,-1.0474324,0.02222546,1.9323455,1.1238282,0.9393965,10.381367,0.3622222,9.725057,1.3441396,32.81954,0.2729365,788.9384,0.20430426,1359.506,0.1691913,-79.45016,-1.099042,1869.7538,0.12286809,1152.3612,0.23494154,-86.39891,-0.89472395,2934.129,0.07490037,967.2658,0.29489425,-90.05774,-0.8257469,-18.306503,-0.5430367,30.937366,0.31447455,0.059702337,0.33080328,-0.023048338,-0.8559539,0.1869161,0.7094737,26.805035,0.3527938,7.723152,2.0763552,-8.983373,-1.9980518,-26.635233,-0.68721175,-8.074216,18.344547,0.039235506,0.014194836,0.037594676,3.3210332,2.6168225,0.24642856,0.20565599,0.13499999,0.23264779,-27.345383,23.233333,28.666667,disengaged
3,41.213787,0.09069551,38.300587,41.478508,43.34219,5.041603,214.98535,545.79236,93.20263,99.34623,0.24076213,1.5657007,0.006081637,0.02617179,0.541173,0.53509134,6.544223,3.9923341,4.735636,3.4236608,0.09523423,1.7763348,6.1486826,2.608388,6.539584,1.7561502,-4.0946994,-3.4370558,-12.928519,-1.5085008,0.021517873,1.6538835,0.9924573,1.0014598,10.750239,0.36771408,11.459493,0.84904987,30.40225,0.28093943,781.2759,0.21397126,1335.487,0.1507409,-145.28235,-0.58665013,1830.6882,0.12647232,1116.1997,0.25211436,-142.6565,-0.5644271,2912.9639,0.07363186,849.53534,0.33917034,-144.42433,-0.5399064,-16.493341,-0.5550667,27.971996,0.3799145,0.059845228,0.35740831,-0.022911856,-0.8064313,0.25413215,0.79934794,21.261465,0.48735145,2.6542993,6.122826,-14.087522,-1.1625733,-33.085598,-0.5810666,-4.575693,14.26247,0.030567385,0.02582814,0.016522609,1.62413,1.4418604,0.2216129,0.25753292,0.4519355,0.63515514,-28.152853,28.7,50.266667,engaged
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008711208,1.0772696,0.005519876,0.0059729572,0.0071759755,0.0016560997,0.082306094,0.028601773,0.29045138,0.1702556,0.0008556061,2.9250674,-3.4825273,-1.9102678,5.3575788,0.81991047,2.8727927,1.1904268,-0.011464305,-377.28882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4084349,12.044457,0.025776068,0.03698297,0.00087750464,1.7857143,0.0,0.0,0.0,1.06,0.0,-74.038795,50.3,51.433333,disengaged
5,37.8864,0.11490535,34.293755,38.000317,40.870132,6.576378,168.943,278.95166,54.205982,93.8608,0.25626707,1.1936573,0.00673106,0.12903132,0.50786555,0.5011345,4.6891418,2.4495354,3.2145705,1.9950906,0.09678131,1.3140289,13.686933,1.360404,11.499144,1.0003172,-0.17684703,-68.60903,-13.089833,-1.4143606,0.024037253,2.3354297,1.1399672,0.88105893,10.09576,0.36308187,10.770408,1.0087522,32.80434,0.26598626,780.55066,0.20739892,1389.3949,0.1798928,-117.03509,-0.77762115,1881.194,0.12171354,1151.5336,0.3099801,-121.08217,-0.6818523,2927.0884,0.07232643,964.00256,0.35793784,-123.14373,-0.6514849,-19.895378,-0.49270943,30.54624,0.35108933,0.059801925,0.36081675,-0.024962733,-0.6474066,0.17829458,0.7337929,26.960226,0.44783762,10.422737,1.3199468,-2.0468388,-6.7386823,-24.376566,-0.7724319,-6.2577963,15.493313,0.03179232,0.020056583,0.021576185,2.5837321,1.9267823,0.2335,0.33252484,0.25238094,0.31414136,-27.624767,51.466667,61.933333,engaged
6,36.783024,0.054326724,34.806915,35.791016,39.17307,4.3661537,56.266125,36.621376,4.849321,11.110913,0.1626388,0.9668279,0.01883263,0.11214485,0.31384316,0.29501054,2.9130857,1.5556418,2.9792092,1.5749038,0.07276117,1.2840645,14.872087,1.3419577,15.804209,0.7514702,0.10451255,158.87546,-8.486269,-1.4810561,0.021235729,0.93023205,1.3074242,0.7720601,9.755295,0.3046508,5.7068715,1.5186036,29.004103,0.29415473,813.1283,0.17651163,1341.2776,0.17998981,-115.80849,-0.7575269,1908.4614,0.09085883,1065.5667,0.29627228,-120.54741,-0.6420896,2989.3022,0.060354255,1005.16327,0.30463445,-121.82275,-0.6223745,-21.641594,-0.5591909,31.741266,0.43405172,0.047736418,0.2763509,-0.020864993,-0.8903749,0.13407019,0.77799875,26.690907,0.5955788,18.558752,0.6691497,4.514662,4.180911,-12.445795,-1.2056109,-7.713609,16.51185,0.04023047,0.01139316,0.020010857,3.2258065,3.3333333,0.138,0.078332625,0.14199999,0.11651608,-31.785454,61.966667,63.533333,disengaged
7,38.805435,0.107026555,35.173325,38.099903,41.806602,6.633278,253.06885,608.02014,33.087982,44.010155,0.19774136,1.5434604,0.006091033,0.051060416,0.35240453,0.3463135,5.653334,4.3840017,3.0554597,2.3001933,0.082958944,1.8815099,8.781972,2.1685233,10.060867,1.1851063,-2.7035916,-5.105477,-9.094927,-1.8584285,0.018166782,1.0193737,1.2393126,0.86448175,9.862867,0.41451734,9.128203,1.2710629,31.631922,0.30553463,801.0422,0.19557306,1335.608,0.17701335,-137.92252,-0.6270651,1904.3738,0.10874193,1137.9824,0.29657176,-139.91983,-0.56583285,2957.865,0.07234012,974.34955,0.28497985,-141.30785,-0.544019,-19.324135,-0.5491546,30.899664,0.37711784,0.057081677,0.39348096,-0.022784824,-0.8165276,0.20683888,0.95796597,26.142696,0.5205935,9.223347,1.6674109,-6.3534646,-2.8700411,-24.059633,-0.753817,-4.766522,14.170625,0.030658254,0.025433524,0.013309312,1.5463918,1.7906885,0.18977778,0.16181593,0.35340908,0.6127729,-28.468567,63.566667,88.8,engaged
8,36.640297,0.108740404,35.14041,36.101486,39.87802,4.73761,561.98175,739.2136,95.113,140.71558,0.19131906,1.2697217,0.0063161077,0.08768728,0.3663394,0.3600233,2.6926107,1.471624,1.9187866,1.3600503,0.08354595,1.4848573,15.971072,1.1290593,9.884421,0.9319014,1.859589,7.516895,-7.419304,-1.6249535,0.017262101,1.0383861,1.3634772,0.7446303,9.480533,0.36142012,9.682218,0.74882174,29.644062,0.21842432,768.96906,0.17938225,1407.9229,0.16430259,-125.03273,-0.6934229,1812.3531,0.12532604,1109.3722,0.2679182,-127.22414,-0.6364955,2920.8735,0.06392699,927.64325,0.23589893,-130.37155,-0.5913484,-20.53682,-0.40260908,34.085022,0.22328308,0.041728605,0.31715965,-0.016267614,-0.9112285,0.14435846,0.7436734,32.057686,0.2458772,10.114668,0.98843294,1.8874022,10.715015,-13.421513,-0.7996168,-7.0920186,16.284245,0.031952005,0.01813339,0.04182463,1.9512196,2.5,0.16399999,0.076576754,0.26749998,0.15690362,-30.570343,88.833333,90.9,disengaged
9,39.098198,0.04645734,37.8223,39.867424,40.752106,2.9298058,102.011314,151.05952,23.153322,8.522478,0.2505457,0.70216733,0.06984306,0.25559494,0.39825863,0.32841557,5.4459176,1.8849307,1.9833454,1.9978067,0.10149798,0.78595227,27.104183,0.4267675,7.676512,1.8311186,-3.6731641,-4.886048,-11.145369,-1.2230552,0.02393043,0.73780984,1.5225755,0.7613911,9.153274,0.41688392,11.268448,0.99474657,30.304298,0.2627649,758.1907,0.27124307,1386.4172,0.19208641,-80.51472,-0.965237,1839.3784,0.14179777,1146.2124,0.2769307,-77.59037,-0.9091636,2938.1106,0.074460946,1108.078,0.26733348,-83.31766,-0.801449,-17.95185,-0.5947709,34.95039,0.30869493,0.0442114,0.36877033,-0.012884207,-1.4624927,0.12378966,0.65637606,29.331331,0.35996297,8.093747,1.6089146,-2.3633614,-8.526386,-15.027016,-0.9243945,-10.876743,24.29296,0.028400103,0.00978912,0.04220175,3.8759692,3.2786884,0.21499999,0.11715375,0.09666667,0.028674418,-32.63283,90.933333,92.233333,engaged
