F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
37.111526,0.08919577,35.307987,36.830563,39.452236,4.144249,223.34377,422.47043,34.109173,44.28463,0.438731,0.5877639,0.2173161,0.38493916,0.62445223,0.40713614,5.371514,4.2251644,3.8513134,3.4536731,0.18229444,0.91847533,25.748629,0.37434977,7.8304834,1.4834038,-7.851123,-1.4959038,-11.685228,-1.3506796,0.026816742,1.7923411,1.1915135,0.6074885,8.32956,0.4087337,7.877881,1.2100139,30.44525,0.27564704,758.8694,0.21926016,1363.2023,0.14076513,-89.8497,-1.0153812,1818.7754,0.13085857,1159.9752,0.26560953,-93.083626,-0.8806891,2909.1165,0.08636836,946.2117,0.33199263,-97.314316,-0.80682176,-16.66591,-0.46923977,28.256842,0.27348563,0.051361028,0.42287648,-0.023607288,-0.5394918,0.23391058,0.7299319,29.409378,0.26743963,8.714463,1.432395,-8.659179,-1.4891977,-18.392607,-0.7088676,-10.098468,20.44169,0.023639668,-0.0066758464,0.10014839,2.7831717,2.4025974,0.24621622,0.1701248,0.15799999,0.17013945,-26.797947,0.0,15.466667,engaged
37.7617,0.07296852,34.844456,37.51814,38.82279,3.9783325,7.982399,6.1359944,61.48024,37.659542,0.62131053,0.25079384,0.4512089,0.6600464,0.76493496,0.31372607,4.625304,1.7644408,2.4408019,2.6367352,0.2859541,0.50743514,27.484886,0.18603383,6.3114424,0.9048326,-9.737533,-1.1732347,-16.944048,-0.39285338,0.024126349,0.4930834,1.4239572,0.3776052,5.514996,0.258973,-3.3166537,-1.7269666,25.237202,0.2735318,716.7598,0.23224902,1427.1035,0.1887644,-89.36353,-1.0505868,1721.4106,0.16301134,1163.0414,0.21008016,-88.56737,-0.97357345,2851.4194,0.10005267,928.5775,0.2069259,-95.47979,-0.84312314,-12.363498,-0.46055982,24.8787,0.1176361,0.035361227,0.41480333,-0.029491642,-0.52735686,0.27557653,0.3371497,25.993685,0.20921741,3.854016,1.4879359,-16.119953,-0.6023919,-20.222143,-0.30359733,-18.006964,29.171116,0.042880107,-0.017017497,0.31137842,6.6666665,2.857143,0.205,0.155,0.125,0.105,-26.862509,15.5,16.266667,disengaged
34.01101,0.1955061,31.388397,34.281536,37.81299,6.424591,267.6084,189.76544,124.17316,1.7113342,0.47424448,0.45032072,0.28793037,0.40945268,0.6943686,0.40643823,7.8152857,5.5892205,2.7931275,2.202809,0.21554556,0.6830775,23.347525,0.22504681,1.1783863,7.9979277,-9.771348,-1.3530085,-9.21921,-1.1373737,0.041173305,0.95580196,1.1616504,0.56919575,4.137946,0.60106725,0.48311755,12.139307,23.375448,0.19430947,898.6829,0.13320561,1321.6383,0.09858395,-113.588936,-0.8516091,1931.4698,0.0925827,1298.2368,0.35700667,-121.00164,-0.730495,2929.8179,0.054673914,1032.6514,0.2330625,-124.35749,-0.6791053,-4.5793962,-2.1451848,24.497183,0.3259919,0.041252226,0.42762125,-0.011635222,-0.97763294,0.2871858,0.45503202,25.5959,0.24179865,-4.0310135,-2.606614,-20.866182,-0.6550833,-13.3975115,-0.718576,-11.48297,22.211103,0.019940425,-0.011500492,0.18265784,5.555556,4.477612,0.08333333,0.07542472,0.12,0.07788881,-29.269495,16.3,17.033333,engaged
39.81373,0.08332074,37.197155,39.31633,42.047783,4.850628,173.27377,192.38402,39.054874,25.471848,0.61392134,0.6511612,0.25593,0.5184249,0.94496787,0.68903786,7.143246,4.286278,4.3726506,2.222698,0.27269855,1.0033925,23.953283,0.30158317,-2.4360218,-4.1445837,-11.420143,-1.008359,-16.967865,-1.0111475,0.024701742,1.1217062,1.2311231,0.607782,6.7885203,0.65004224,5.8714585,1.7531743,25.865982,0.38325188,815.1627,0.20706818,1351.4756,0.21222708,-87.40892,-1.071355,1827.1598,0.11874493,1154.3634,0.28808814,-90.13377,-0.9415464,2864.7996,0.079111084,896.26776,0.35824603,-93.883865,-0.8720282,-12.350236,-0.5808155,24.209929,0.28412524,0.048411626,0.4049079,-0.025025329,-0.5739392,0.34626785,0.8600313,24.344648,0.29180568,-3.4922419,-3.1661034,-13.933208,-0.9047669,-24.48318,-0.6575376,-9.586896,20.696886,0.023944065,-0.011312214,0.16786791,2.8025477,2.948718,0.19565217,0.13137487,0.12772727,0.16978413,-23.997925,17.066667,24.933333,disengaged
37.09901,0.07940995,35.48215,37.390244,38.98274,3.5005875,254.2852,314.45828,51.425365,54.315685,0.25962487,0.5393542,0.14805484,0.20888743,0.3586743,0.21061945,2.4392633,1.8988581,1.7904266,1.8365455,0.073862016,0.99731266,21.630398,0.34211582,-1.2609054,-6.366829,-8.773114,-1.0638758,-2.976041,-4.0857415,0.024349349,1.1721882,1.2732841,0.469079,6.9930663,0.47120693,8.440416,1.2077154,27.683483,0.39614815,767.8197,0.24153788,1399.4574,0.16276535,-141.737,-0.61014616,1769.8323,0.12534735,1177.8265,0.2290914,-137.95473,-0.60595214,2834.2913,0.09102305,981.0573,0.2797262,-140.62752,-0.5691542,-13.979106,-0.4959618,26.254227,0.2816287,0.053046517,0.32737425,-0.015492435,-0.87579495,0.13340576,0.6500885,27.023077,0.2138836,1.5593525,6.1392775,-8.709593,-1.3434368,-11.932757,-1.1152167,-6.0103297,17.444876,0.01820617,0.00010252558,0.042337745,2.035985,1.8043685,0.18289474,0.16852155,0.3708333,0.7242827,-34.61645,24.966667,46.1,engaged
35.638157,0.059523143,34.75074,35.46117,36.576748,1.8260078,417.02737,553.59845,142.75594,156.34848,0.35870704,0.4834422,0.20807475,0.33530244,0.51104933,0.30297458,3.7540028,2.1495347,3.2255301,2.062212,0.13480797,0.7731138,27.638025,0.37687913,6.4076715,1.8514585,-11.126561,-1.0543259,-7.043079,-1.5129256,0.021909673,1.8458271,1.2314864,0.53434944,7.163358,0.45445818,9.149358,1.139442,33.283794,0.2833353,791.4154,0.19699359,1347.1897,0.14585763,-83.1278,-1.0730976,1854.3325,0.10593874,1056.2668,0.2107104,-89.620865,-0.90823233,3029.2825,0.06495012,1017.9493,0.3382844,-95.96246,-0.79711246,-16.941046,-0.4993667,28.239058,0.3155579,0.05905491,0.23360288,-0.018297795,-0.74064046,0.18214913,0.5584286,32.397655,0.19390918,7.134459,1.7584794,-10.358923,-1.246434,-10.671181,-0.9786821,-9.260034,19.074167,0.034855563,-0.0041811913,0.060578495,4.347826,3.4129696,0.173,0.13535509,0.122499995,0.10268276,-30.54581,46.133333,49.133333,disengaged
38.166996,0.122247905,35.880634,37.276993,39.399197,3.5185623,399.8972,505.78848,264.22888,353.33276,0.173581,0.7168444,0.10656944,0.1250764,0.20041928,0.09384984,3.207026,2.9190204,2.097298,1.7669997,0.048766676,1.4868544,24.81177,0.23742945,-4.455597,-1.632012,-9.333611,-0.79076815,2.724789,3.8717215,0.026499068,1.8409055,1.2240041,0.60244447,8.080958,0.46650136,7.2155805,1.5013051,26.141453,0.90780276,821.03827,0.1876375,1312.1388,0.16259468,-175.0361,-0.36087087,1875.5383,0.12109321,1077.0724,0.32521272,-175.50592,-0.34085095,2952.9573,0.08684282,1023.4511,0.29691586,-176.71768,-0.3220506,-16.881094,-0.43536264,28.208282,0.28513893,0.052419912,0.38322338,-0.01795163,-0.8392717,0.1649818,0.71079874,29.957619,0.2663275,3.9784687,2.7207735,-7.4509864,-1.6963449,-12.833763,-0.87656647,-6.9313717,17.807144,0.012773449,0.0007556719,0.029588839,1.6649324,1.0432968,0.1305,0.11047511,0.8977778,1.7903711,-35.541756,49.166667,68.4,engaged
36.865032,0.054188013,35.649487,36.442833,37.105606,1.4561195,24.285172,1.0885429,47.227894,41.436077,0.28442895,0.5537563,0.15326864,0.2161095,0.470357,0.31708837,2.026385,0.7279528,-0.0193185,1.1919148,0.08417054,0.90432334,22.802574,0.37105632,-0.19381589,-56.78099,-14.37783,-0.74277085,0.55528384,19.067213,0.02041187,1.0284731,1.180935,0.61851656,7.7107186,0.43411192,1.1745633,14.704064,27.15122,0.40971163,614.0836,0.31795081,1423.1095,0.11558261,-143.26953,-0.602568,1621.0885,0.14141999,1226.0034,0.17101464,-140.5092,-0.590345,2761.8818,0.0721374,1127.9586,0.2646379,-145.17993,-0.52492994,-12.146606,-0.880898,29.69435,0.17727989,0.05420693,0.42203066,-0.0063974876,-1.68485,0.14464162,0.51044935,28.20702,0.17497084,3.4601667,4.4853115,-15.309749,-0.97905076,-6.0625553,-1.4581541,-5.943132,19.988474,0.019225337,0.004030686,0.046580363,1.8867925,2.6143792,0.114999995,0.03905125,0.32666668,0.26712462,-32.752533,68.433333,70.033333,disengaged
37.29866,0.100894846,35.483673,36.84158,38.898598,3.4149246,521.8764,868.38556,146.70917,260.39832,0.35369542,0.6301315,0.14584203,0.3031716,0.51643455,0.37059253,4.1541147,2.3257403,2.8135397,1.8622203,0.14586353,0.9414541,26.310585,0.3399206,3.1776218,3.2525382,-13.083639,-0.88138,-6.858543,-1.8135138,0.020935513,1.5709478,1.2115216,0.595708,8.408788,0.41965872,5.951781,1.6151892,29.97128,0.47383666,823.74426,0.18116131,1327.2166,0.16954672,-101.00552,-0.9101157,1871.2024,0.11354688,1145.8501,0.23845878,-104.78858,-0.79860634,2991.3218,0.07966778,1045.7988,0.27763116,-110.17514,-0.7145528,-15.744989,-0.5946463,30.675737,0.24665189,0.05473406,0.37154633,-0.016966198,-0.87601185,0.22070293,0.6283015,30.622744,0.21597409,5.581137,1.9498042,-12.561331,-1.072344,-13.086619,-0.832852,-9.154139,21.196331,0.024545787,-0.0020312353,0.0566873,2.7715356,2.4060152,0.219375,0.23323724,0.19344828,0.23189288,-27.008987,70.066667,83.433333,engaged
40.05845,0.19215685,36.489357,36.89382,39.5459,3.0565414,0.7024353,0.0,0.0,0.0,0.14095402,0.2281484,0.1163639,0.13182627,0.16087958,0.044515684,1.2690817,1.7188139,0.85285205,0.68483186,0.02296641,0.59451514,19.764019,0.35360914,-3.2837093,-1.9148015,-14.010147,-0.49814376,0.91334975,8.5324335,0.023309374,1.1533465,1.6950432,0.24208125,3.4728668,0.51000595,2.767289,3.0624542,22.68736,0.28749073,752.8039,0.18008631,1306.0411,0.15455656,-188.28291,-0.24615341,1709.4298,0.13405932,1245.471,0.28920168,-187.50406,-0.23793909,2773.9412,0.09275855,927.2073,0.15587285,-187.66005,-0.23197263,-7.4485393,-0.49966443,20.996485,0.17929626,0.03300676,0.23543188,-0.004759891,-1.5328481,0.02563157,0.32685035,25.499805,0.10609872,-4.4782143,-0.7645982,-19.193487,-0.32637644,-2.67614,-2.3621216,-7.7757373,18.65308,0.012553646,0.00065733085,0.02275703,3.7037039,1.1013216,0.058000002,0.020396078,0.69,0.6518947,-49.73391,83.466667,88.066667,disengaged
