F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
39.133675,0.24276239,34.32846,36.784477,41.941055,7.6125946,554.63477,849.3552,83.75532,104.45973,0.21071471,0.9724816,0.088321075,0.12516661,0.30046177,0.2121407,3.971995,4.105714,3.4554994,4.2473845,0.074534684,2.3945885,22.751253,0.3653519,3.3928585,3.1305246,-9.080016,-1.2430621,-6.093093,-1.7872833,0.026485857,1.3334298,1.2562548,0.55431575,7.1538815,0.5193015,6.7015057,1.5945777,26.72232,0.44475937,786.1159,0.21668497,1279.5958,0.17572187,-149.63942,-0.5498594,1834.9526,0.1295151,1079.9814,0.24760006,-144.77296,-0.55272025,2928.9146,0.08976035,953.36786,0.31874657,-147.07436,-0.51676875,-14.027301,-0.5713005,27.380308,0.29632464,0.04866225,0.53338176,-0.0136391325,-1.2152088,0.16172776,1.721956,27.461542,0.29972664,1.9319345,6.2898073,-13.071767,-0.9858438,-12.020091,-1.0039717,-10.273084,21.837614,0.022553671,-1.9749437e-05,0.034823865,0.6264324,2.1253822,0.13863309,0.14711721,0.32533836,0.6234279,-30.901,0.0,65.466667,engaged
34.332676,0.1645124,25.246666,37.110542,38.858402,13.611736,16.224506,6.907113,1375.6161,0.0,0.14794058,0.5807806,0.097757235,0.12773491,0.17321852,0.07546128,2.8479998,5.07504,1.7012632,1.6146966,0.041793957,1.4696261,23.669344,0.21816033,8.627506,0.9437949,-7.5901327,-1.214743,-0.24512802,-32.92749,0.044613045,0.42007512,1.111232,0.21544391,5.3372617,0.21855119,-3.7659638,-2.903132,14.565991,1.2778187,916.0444,0.06676841,1049.5684,0.041114535,-195.5702,-0.1427129,1946.1952,0.058987733,908.6753,0.14403018,-196.05766,-0.12962876,2965.87,0.026315976,710.65393,0.09565243,-196.16823,-0.1265272,-15.317395,-0.116950855,28.040928,0.14217089,0.0135415085,0.8993741,5.0626346e-05,162.91104,0.022111312,0.09760797,24.306622,0.05988725,8.961949,0.53697705,-0.13028216,-28.436768,0.05638124,104.08169,-12.075955,27.216047,0.02804954,0.001034284,0.04259367,1.234568,0.75,0.026666667,0.0094280895,0.9625,1.0814891,-42.965492,65.5,69.566667,disengaged
41.400925,0.13182557,40.44462,41.731537,42.400192,1.955574,127.23428,74.44926,220.32726,139.67722,0.325632,1.3111405,0.0987571,0.1836679,0.44129068,0.3425336,8.808401,8.291688,7.5992775,7.707488,0.18442975,3.4174433,22.370068,0.395799,7.7279544,1.3500473,-4.7373657,-2.208544,-10.397842,-1.3186361,0.02842682,2.2261617,0.78078103,1.0906096,12.365142,0.41847083,15.0613985,0.7889405,29.16701,0.35267493,862.6436,0.20040545,1373.95,0.18676078,-146.67209,-0.5548359,1894.7251,0.10065568,1161.5304,0.27690914,-144.02286,-0.55177385,3019.354,0.06643686,936.7126,0.26678604,-147.0342,-0.51211137,-22.649458,-0.42794397,33.39181,0.23435,0.050409,0.40083718,-0.017260116,-0.75088423,0.39361045,2.3624384,26.676376,0.32594073,6.502196,1.9144315,-5.620146,-2.406081,-19.600023,-0.7209147,-12.271005,23.689833,0.032115582,-0.004258692,0.082004845,1.0290557,1.0328069,0.31117648,0.5123175,0.6011111,0.79905415,-23.02346,69.6,86.133333,engaged
36.58543,0.09152671,34.99701,37.30347,38.402554,3.4055443,124.6217,93.39508,53.923317,54.536457,0.47544116,0.4736821,0.24286884,0.49672186,0.63395244,0.3910836,5.484276,3.3629887,2.8588765,1.4614681,0.22866096,0.7375991,30.438984,0.26992166,1.9019036,5.453614,-8.9731865,-1.1653563,-13.168711,-0.956055,0.027287977,2.078491,1.139614,0.6949131,8.23608,0.40802708,4.8969994,2.4059162,29.30312,0.3353139,802.97345,0.18637323,1267.0634,0.18252821,-57.57844,-1.3968765,1895.7535,0.12557334,981.73615,0.27532375,-64.74574,-1.10129,3032.4387,0.09203012,984.4614,0.28410947,-72.013626,-0.9312806,-17.732922,-0.4485212,29.06399,0.26651233,0.069827996,0.3140972,-0.020169023,-0.8201527,0.24932986,0.6482796,32.661854,0.16653699,3.2036474,3.2935734,-9.594116,-1.1508538,-16.141853,-0.7091752,-11.078536,22.760357,0.051305287,-0.0022710508,0.18284045,4.452055,2.4390244,0.30571428,0.27437496,0.08142857,0.043892257,-25.492409,86.166667,89.1,disengaged
41.187145,0.19036442,35.318954,37.090843,51.03717,15.718216,336.19305,518.4741,123.572784,233.53334,0.44691327,1.1258725,0.13246295,0.3110221,0.5968062,0.46434328,5.577014,6.3684316,4.7263184,6.0855412,0.20618694,2.1391542,24.127895,0.40657115,3.995565,2.7778962,-12.773477,-0.8515431,-15.064192,-0.94430065,0.027204981,1.6496373,1.0495821,0.62879694,9.234547,0.5018235,8.37305,1.2466075,25.24412,0.55009776,829.69867,0.18542618,1251.2983,0.19620246,-98.92937,-0.944699,1869.4196,0.12587017,1059.1222,0.29350019,-98.769104,-0.85507727,2976.472,0.08177715,917.36017,0.34846133,-103.26594,-0.7786271,-15.175102,-0.55619293,28.998476,0.25705075,0.060330395,0.40871617,-0.017895138,-0.9619861,0.30550492,1.7922444,26.336864,0.38135004,2.2973964,5.374086,-15.076018,-0.78445774,-19.752098,-0.7588265,-10.608297,22.207575,0.035780136,-0.00728512,0.07100916,1.0865493,1.9144144,0.29392156,0.35331526,0.22083333,0.29371068,-20.866686,89.133333,115.833333,engaged
38.807213,0.041348126,37.52687,38.370224,40.282684,2.7558136,65.06156,45.425686,6.4137154,19.936113,0.26578662,0.9605483,0.12511915,0.16241366,0.3035985,0.17847934,5.442396,5.188061,0.965353,2.542107,0.09619752,1.5587481,18.37539,0.35233435,7.785468,1.2623848,-5.2889166,-1.1162916,-1.4623209,-5.519262,0.040813155,1.0809383,1.2990421,0.6133998,10.56706,0.15293467,14.158468,0.21034709,29.295614,0.18682067,748.41046,0.2982018,1353.7327,0.13333061,-172.30333,-0.37080505,1825.7662,0.15234779,984.1175,0.19171996,-167.28473,-0.40007156,2857.2893,0.092831604,1032.8914,0.30718422,-168.61244,-0.381118,-17.676115,-0.32009125,28.703592,0.27568594,0.061918244,0.4037505,-0.020693792,-0.722665,0.24536856,0.5705679,25.30174,0.29367346,9.890369,1.096754,-5.1957603,-1.774717,-7.2246985,-0.94078994,-7.9371552,19.825298,0.025337005,0.0048982445,0.036213916,2.2857144,1.183432,0.155,0.095,0.66999996,0.64,-29.31311,115.866667,117.633333,disengaged
37.052616,0.21974356,33.97512,37.2426,41.528954,7.553833,268.0608,421.22516,121.871376,140.62154,0.25852764,1.382032,0.082629055,0.11591311,0.3920648,0.30943576,6.1714425,5.0740705,4.5023828,4.29416,0.11619794,3.1831565,24.51795,0.3072835,8.635099,1.1680691,-6.6507254,-1.52909,-9.954382,-1.0833987,0.027996559,1.7247293,1.1574157,0.78182256,8.341165,0.5277801,8.007051,2.6732037,25.266724,0.62490064,788.4643,0.20999414,1309.9126,0.17708471,-155.98172,-0.5052269,1812.9237,0.12259744,1082.0408,0.31306663,-155.12482,-0.48838386,2913.9136,0.07504033,895.3982,0.3511605,-157.41058,-0.45668322,-14.700788,-0.47210982,27.942268,0.27676076,0.058785256,0.48938453,-0.02199422,-0.67707634,0.340789,1.9606147,26.828989,0.33565414,4.7733727,2.5534809,-11.305837,-1.262601,-17.355795,-0.75636566,-12.197144,23.975813,0.028367657,-0.0075416593,0.039227776,1.0231756,1.369356,0.17774774,0.18629959,0.54703707,0.9044225,-25.512163,117.666667,198.8,engaged
42.763126,0.24267735,36.769512,46.20619,51.19466,14.425148,229.4994,200.08847,159.77843,102.037964,0.33028492,1.891093,0.07766713,0.10316305,0.21047723,0.1328101,11.870956,14.571752,8.491228,4.9686494,0.18880923,2.9862673,23.25858,0.37416264,1.9252185,7.345767,-10.191294,-1.1707059,-9.749339,-1.00631,0.035156377,1.3351103,1.1474462,0.7251736,7.1641593,0.7924276,4.311537,2.932739,23.394552,0.4019779,856.864,0.20969832,1214.3373,0.1935461,-159.39613,-0.49586457,1827.8453,0.121573664,1028.3734,0.29016295,-155.52045,-0.50323594,2919.6282,0.078517795,896.8768,0.43274018,-157.9629,-0.46892187,-5.1732144,-2.066602,23.73801,0.29821873,0.056748644,0.5515628,-0.011064368,-1.552912,0.6834181,1.4301058,17.187132,0.79771507,-12.383351,-1.3603365,-23.332596,-0.64125025,-16.77349,-0.6718646,-11.223307,24.86212,0.031542458,-0.0037534859,0.0349626,0.6648936,1.472557,0.15272726,0.18940532,0.50454545,0.5798019,-21.68857,198.833333,206.366667,disengaged
41.30804,0.1697555,35.173946,40.376007,49.009514,13.835567,126.06901,119.34689,228.9325,332.51447,0.6120652,1.3673658,0.09094854,0.2481803,0.74408734,0.6531388,15.028786,12.268362,7.916547,9.463316,0.39159325,2.2559218,22.15621,0.42925805,3.148118,5.139529,-14.127692,-1.0169014,-16.80542,-0.88234913,0.025298595,1.9817065,0.9493173,1.0707749,9.725539,0.52740264,6.6209617,1.5093935,27.86125,0.37951365,827.86615,0.20589483,1265.8348,0.16726921,-117.3584,-0.815171,1850.4468,0.11912949,1101.4587,0.26641214,-115.995834,-0.7685028,2934.8062,0.0687127,907.4546,0.35031974,-120.02767,-0.70491636,-11.678277,-0.87839323,27.20127,0.2879926,0.06681108,0.3587769,-0.019644562,-0.9799027,0.7366586,1.5542854,20.328299,0.6153903,-2.8924742,-6.674753,-21.517366,-0.7304064,-24.807251,-0.50604653,-11.46645,23.750948,0.036944386,-0.008537509,0.07676255,1.585821,1.8761727,0.2375,0.19628742,0.305,0.55144507,-17.550367,206.4,217.133333,engaged
50.108276,0.09076367,47.365204,50.985783,53.769196,6.4039917,385.26074,571.2898,175.2699,187.0652,1.1004882,0.7198264,0.52792597,0.8563528,1.6664073,1.1384814,14.899943,4.9590154,13.612402,11.880522,0.84832275,1.0753745,8.537358,1.0491595,-10.711954,-1.8305029,-21.99036,-0.4565163,-33.13391,-0.8153399,0.019764693,1.4222925,1.066869,1.207359,10.222693,0.5790575,14.343754,0.89199275,10.852624,2.8193755,920.4616,0.15261327,1093.8934,0.18393193,-80.15035,-1.125474,1967.2473,0.097535774,1058.0298,0.3314905,-77.380424,-0.9837153,2941.2751,0.063959084,749.27277,0.41623265,-75.26593,-1.0098375,-7.024247,-1.8464355,20.900219,0.32255444,0.072796755,0.5162035,-0.012912571,-2.2227204,0.95247006,0.99372226,6.8516726,1.1246508,-10.157249,-2.1240487,-24.836302,-0.31901923,-39.91974,-0.6527318,-2.2409728,19.508554,0.055122115,-0.0012296751,0.6207603,1.5873016,3.2786887,0.20833333,0.09388231,0.089999996,0.06542171,-16.834764,217.166667,219.066667,disengaged
