F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
41.312466,0.10045618,37.611153,37.725235,46.75177,9.140617,84.20963,49.504642,94.23554,75.34008,1.0827577,0.5087608,0.5587125,0.9048815,1.7338774,1.1751649,14.8772,12.445967,7.5382147,7.933753,0.55686307,0.9220767,24.660147,0.18697828,2.7703733,3.4165819,1.3924054,8.283616,-5.2648315,-2.1954114,0.03638637,1.1241484,1.3073559,0.51937944,5.831428,0.7172698,3.6044621,3.5656972,15.525517,0.6045713,858.66736,0.1947497,1280.2916,0.16574514,-55.03397,-1.2794889,1861.5245,0.12511702,1156.1799,0.32623082,-57.10287,-1.1205788,2900.297,0.08379008,945.4916,0.36554018,-61.48674,-0.9977218,-14.173059,-0.5070447,26.873896,0.30487308,-0.009730824,-2.5194333,-0.010471062,-1.0904818,0.47812515,0.62193733,24.550613,0.1736783,2.4373746,4.2436123,1.5288545,7.3940253,-5.4126277,-2.1184819,-15.482633,28.020496,-0.010341199,-0.0062616686,0.7538745,4.3243246,3.9106145,0.19714284,0.1351945,0.049999997,0.0501996,-18.440607,0.0,1.866667,disengaged
37.9597,0.029283041,37.533905,37.603085,37.706875,0.17296982,103.40164,72.53308,20.673483,9.242136,0.89634794,0.5650411,0.57654446,0.6043368,1.3604363,0.78389186,4.767427,3.3942437,3.2566836,0.0,0.5517051,1.0621104,29.739128,0.09190263,6.9446006,0.47471064,0.6256322,21.740623,-6.9365096,-2.5644152,0.027361885,0.70918983,0.936891,0.36090875,9.588794,0.2004188,-1.5728304,-5.054824,21.65203,0.56170624,883.6489,0.20264426,1318.154,0.14725712,-19.469534,-0.71669066,1864.6747,0.10114757,1203.5901,0.2035697,-30.610367,-0.24993354,2983.589,0.06011137,855.42303,0.27266902,-37.989525,-0.13520384,-19.454393,-0.12051881,34.159725,0.054533515,-0.012785204,-1.8682474,-0.017211284,-0.7889512,0.5793121,1.033611,29.93341,0.09025747,6.926557,0.48978174,-0.052042022,-264.37656,-7.9628415,-2.2441874,0.0,0.0,0.0,0.0,0.0,1.0101011,1.0752689,0.91999996,0.0,0.0,0.0,-16.694706,1.9,2.9,engaged
37.641785,0.0025542295,37.5719,37.634968,37.70856,0.13666153,5.7495484,2.705477,4.764472,2.1512206,0.6066975,0.11184059,0.57686627,0.59038365,0.61371094,0.03684467,0.9569541,0.589885,0.44798386,0.4248577,0.25977072,0.2123047,27.50903,0.06930642,8.600885,0.25456363,9.310665,0.26657143,4.872319,1.253782,0.030329088,0.39476982,1.0344632,0.21518669,9.430929,0.09301835,-0.4259747,-10.929346,11.512723,0.41864562,952.00433,0.1466601,1316.0162,0.13570963,-29.05912,-0.09860777,1864.4137,0.07730749,1175.4446,0.1372703,-34.124874,-0.07226243,2929.2947,0.045668982,854.86176,0.19930828,-39.311157,-0.046833336,-19.671412,-0.061798226,33.829983,0.051444817,-0.03155141,-0.26851735,-0.008079943,-0.5958563,0.25799403,0.19307682,27.48308,0.06989997,8.344046,0.21470644,9.144508,0.2579999,5.8567348,0.6479763,0.0,0.0,0.0,0.0,0.0,4.8275867,0.7194245,1.38,0.0,0.0,0.0,-23.077845,2.933333,4.4,disengaged
40.159817,0.10995388,37.358536,37.648277,47.195084,9.836548,201.18834,192.4196,39.17514,28.828266,1.1358085,0.591072,0.6038067,0.81926894,1.8190314,1.2152247,12.3657255,6.7868443,6.903871,6.7273664,0.55275303,0.59698397,26.743862,0.14637546,3.1156368,2.8660376,2.1287289,5.2159557,-5.8959312,-1.7662967,0.032168757,0.92524534,1.1836965,0.45534116,8.01292,0.27708796,4.0916886,1.8558491,19.20581,0.4156461,873.24194,0.19801748,1307.301,0.1361185,-31.329199,-1.2698286,1834.6876,0.11018029,1082.8354,0.19558407,-35.80382,-1.0079416,2932.8076,0.069355845,905.30695,0.41128188,-43.084187,-0.7886434,-16.298483,-0.32378197,29.210466,0.21791367,0.003554788,8.219313,-0.012776602,-0.75059724,0.5248005,0.56306547,26.657545,0.14580637,3.8228567,2.2953582,2.833666,3.6991487,-5.6894364,-1.8489621,-11.776722,22.65619,0.015046689,-0.015161559,0.8131234,2.970297,2.5510206,0.35799998,0.3034732,0.03,0.01,-17.00243,4.433333,6.466667,engaged
37.220875,0.12098193,36.995617,37.57775,38.17147,1.1758537,281.41446,299.15857,73.27102,48.245136,0.9267635,0.4311282,0.65401125,0.76871854,1.1310391,0.4770279,6.9134645,4.6029267,4.130444,3.244647,0.520785,0.78457326,28.490007,0.16415338,4.309488,1.5993286,-0.58285505,-18.687551,-5.7510824,-1.9820603,0.048319537,1.6745367,1.2729754,0.3906239,6.341137,0.45208788,1.4789289,8.375624,18.90157,0.6496575,851.4574,0.19326171,1258.6702,0.17319867,-44.999603,-1.4061607,1859.7297,0.106555074,1119.7698,0.23662831,-51.59008,-1.1136417,2933.596,0.06747805,923.28253,0.3508065,-57.04521,-0.9650588,-15.34499,-0.36735535,30.0197,0.17029205,-0.0047376147,-4.2733135,-0.017018719,-0.73460203,0.5302772,0.7808692,28.627167,0.1311735,4.388673,1.6346099,-0.7248794,-15.498304,-5.7696137,-2.048488,-14.732182,29.92518,0.0059181126,-0.0086202035,0.51112515,2.2566996,1.9914652,0.42214286,0.3857123,0.06538462,0.033193,-19.01019,6.5,13.6,disengaged
32.576107,0.2076765,25.34534,37.552288,37.65443,12.30909,156.48473,113.01673,46.094757,32.599953,0.6765874,0.1358873,0.60598266,0.64683414,0.7493515,0.14336884,2.5212607,1.6953864,1.2163252,1.0613843,0.31413838,0.2691945,28.133638,0.1308838,11.734488,0.37053537,6.53553,0.88557583,-0.20065656,-43.45033,0.051714465,1.1435745,1.1554554,0.4262044,6.6770554,0.45608312,0.9900892,17.147152,17.56696,0.8685291,919.57227,0.16327515,1381.7372,0.15152687,-33.018925,-1.465881,1901.1438,0.0840464,1178.0768,0.18975876,-40.594135,-1.0805815,2976.6177,0.067659155,889.0676,0.21565393,-45.43107,-0.93545115,-20.567524,-0.10848496,34.118168,0.072849795,-0.012516579,-1.2121825,-0.016497288,-0.5191967,0.31373987,0.28984943,28.340105,0.13420726,11.878676,0.35867885,6.760204,0.8961068,-0.5271208,-17.34048,-18.56829,32.50266,-0.0027893386,-0.012818401,0.3725947,4.605263,2.739726,0.3275,0.29651096,0.026666667,0.0047140447,-21.710379,13.633333,15.166667,engaged
37.074406,0.09714923,37.45404,37.63257,37.860756,0.4067154,291.02682,280.44528,49.647648,50.08444,0.85608536,0.32116693,0.599537,0.79164654,1.0940973,0.49456024,5.9280148,3.5774336,4.433362,1.8690419,0.40636206,0.42650473,27.20464,0.13257745,5.7713604,1.1848191,2.0443654,5.1252832,-7.9451036,-1.4901799,0.041361902,0.9576421,1.1497483,0.3605058,6.6139097,0.48521295,-7.1574197,-2.7014725,10.907624,1.4281224,849.6694,0.19999784,1327.31,0.15172262,-28.77937,-1.4450482,1804.9791,0.12001775,1164.8588,0.20546043,-37.07704,-1.0179477,2917.0457,0.06258195,890.2525,0.35701644,-43.31724,-0.8149017,-15.501046,-0.39861748,29.92949,0.18357548,-0.019325467,-0.7710308,-0.016404146,-0.70845604,0.3999479,0.42361104,27.166597,0.1306252,5.516393,1.2837598,1.3221537,7.591552,-7.495517,-1.5873764,-17.889769,31.904636,-0.007956592,-0.023698265,0.4990649,3.968254,2.0325203,0.452,0.39806533,0.03333333,0.01885618,-21.34744,15.2,17.733333,disengaged
36.88998,0.06903422,37.06231,37.567303,37.707146,0.6448364,448.61377,439.45276,17.451813,12.408178,0.7800687,0.2867116,0.6085271,0.7138283,0.9262932,0.31776607,3.7449853,1.8895435,2.1936252,1.7690841,0.37216207,0.36726335,27.67925,0.151199,7.4421444,0.91686845,3.3783972,2.3270936,0.5296925,15.739285,0.034713615,1.4461826,1.1409965,0.32714435,8.49579,0.2602391,3.8761797,2.4929135,17.944992,0.5423275,915.7075,0.16793782,1234.9388,0.17905326,-41.320446,-1.2078056,1914.53,0.10067688,1151.0626,0.25254902,-49.03161,-0.9452426,2957.3218,0.056346934,945.8253,0.3066428,-53.97987,-0.8270131,-17.213846,-0.33051673,32.420425,0.1333296,-0.015818255,-1.0508192,-0.010960656,-0.88285506,0.36349168,0.36623588,28.02545,0.14270468,7.950867,0.76812065,3.611849,2.0824683,1.0398304,7.77574,-14.217186,29.16954,-0.0066013527,-0.013525593,0.397664,2.3376625,1.8518518,0.47714287,0.4202283,0.048333336,0.02339278,-20.43193,17.766667,21.633333,engaged
38.039654,0.09763066,37.104126,37.60077,38.18911,1.0849838,103.77899,114.41437,105.12299,100.13981,0.9016356,0.4183291,0.5962111,0.79696363,1.2393599,0.6431488,6.327126,3.575674,6.3478928,3.721747,0.52450544,0.6379853,27.718214,0.19665241,5.6085124,1.1868972,-1.2114668,-9.484527,-8.474689,-1.5534261,0.033895124,0.72369164,1.1881247,0.3479963,6.704868,0.40330994,0.85322255,11.292671,19.51712,0.5075703,848.26373,0.21183313,1319.5186,0.18037803,-45.496265,-1.3507957,1842.3259,0.12845457,1213.7006,0.25678906,-51.460728,-1.0599748,2909.154,0.06550289,948.58716,0.49425915,-56.83751,-0.92371976,-15.855216,-0.36280856,30.918114,0.15057099,-0.008298268,-2.5513022,-0.016828546,-0.666282,0.51155716,0.6141791,28.377722,0.121607654,5.981337,1.1134439,-0.8224632,-14.529085,-8.043713,-1.6471553,-12.647297,27.59301,0.025366457,-0.008575183,0.77236456,3.539823,3.0030031,0.277,0.28234908,0.044999998,0.026925823,-19.706284,21.666667,25.066667,disengaged
37.692272,0.016608132,37.384888,37.609314,37.88353,0.49864197,14.291491,6.4747,8.068667,9.254506,0.73875314,0.2230054,0.59764695,0.6867984,0.9063179,0.30867094,3.1958318,1.5862783,2.670343,1.8528832,0.39358905,0.49283084,28.988699,0.10447834,7.516838,0.62830305,5.189104,1.8570722,-2.7851574,-2.6346872,0.026476776,0.54770464,1.0490692,0.32867762,8.96501,0.21915221,1.8253518,5.645864,16.47356,0.4058925,901.38525,0.17419662,1325.4402,0.19121891,-33.867016,-1.07599,1839.7133,0.0912931,1279.3933,0.32700104,-40.92077,-0.7826354,2880.2124,0.057689827,959.5332,0.41681197,-46.62003,-0.6669224,-17.874226,-0.2456222,32.556305,0.11937723,-0.01406704,-0.9642344,-0.01372613,-0.5385769,0.36517704,0.4480771,28.59739,0.102433726,7.3336535,0.623571,5.6614437,1.699822,-1.8115658,-3.7620885,-14.7995825,33.31344,-0.014579162,-0.024271388,0.53186524,4.347826,2.7522936,0.3333333,0.23795424,0.02,0.0,-20.698715,25.1,26.266667,engaged
