Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,16,0.2,0.001,0.0,0.6380368098159509,0.6571428571428571,0.5679012345679012,0.609271523178808,0.677807889190003
p11,2,16,16,0.2,0.001,0.0,0.654320987654321,0.6506024096385542,0.6666666666666666,0.6585365853658537,0.7375400091449474
p11,3,16,16,0.2,0.001,0.0,0.6296296296296297,0.6521739130434783,0.5555555555555556,0.6,0.6465477823502515
p11,4,16,16,0.2,0.001,0.0,0.6790123456790124,0.71875,0.575,0.6388888888888888,0.7376524390243903
p11,5,16,16,0.2,0.001,0.0,0.5432098765432098,0.5241935483870968,0.8125,0.6372549019607843,0.6191310975609756
p11,1,16,16,0.2,0.001,0.0001,0.6441717791411042,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.6811201445347785
p11,2,16,16,0.2,0.001,0.0001,0.6790123456790124,0.6790123456790124,0.6790123456790124,0.6790123456790124,0.7105624142661179
p11,3,16,16,0.2,0.001,0.0001,0.6296296296296297,0.6567164179104478,0.5432098765432098,0.5945945945945946,0.653101661332114
p11,4,16,16,0.2,0.001,0.0001,0.6481481481481481,0.6666666666666666,0.575,0.6174496644295302,0.6964939024390244
p11,5,16,16,0.2,0.001,0.0001,0.5,0.49673202614379086,0.95,0.6523605150214592,0.6181402439024389
p11,1,16,16,0.2,0.0005,0.0,0.6809815950920245,0.704225352112676,0.6172839506172839,0.6578947368421053,0.6838301716350496
p11,2,16,16,0.2,0.0005,0.0,0.6419753086419753,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.6524919981710106
p11,3,16,16,0.2,0.0005,0.0,0.6481481481481481,0.6578947368421053,0.6172839506172839,0.6369426751592356,0.6623990245389423
p11,4,16,16,0.2,0.0005,0.0,0.6790123456790124,0.7,0.6125,0.6533333333333333,0.7374999999999999
p11,5,16,16,0.2,0.0005,0.0,0.5,0.47368421052631576,0.1125,0.18181818181818182,0.6214939024390245
p11,1,16,16,0.2,0.0005,0.0001,0.6871165644171779,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.676001204456489
p11,2,16,16,0.2,0.0005,0.0001,0.6234567901234568,0.5793650793650794,0.9012345679012346,0.7053140096618358,0.7277853985672915
p11,3,16,16,0.2,0.0005,0.0001,0.6481481481481481,0.65,0.6419753086419753,0.6459627329192547,0.6596555403139766
p11,4,16,16,0.2,0.0005,0.0001,0.6728395061728395,0.684931506849315,0.625,0.6535947712418301,0.7382621951219512
p11,5,16,16,0.2,0.0005,0.0001,0.5617283950617284,0.5584415584415584,0.5375,0.5477707006369427,0.6088414634146342
p11,1,16,16,0.3,0.001,0.0,0.6748466257668712,0.6944444444444444,0.6172839506172839,0.6535947712418301,0.674194519722975
p11,2,16,16,0.3,0.001,0.0,0.6481481481481481,0.6304347826086957,0.7160493827160493,0.6705202312138728,0.7212315195854291
p11,3,16,16,0.3,0.001,0.0,0.6481481481481481,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6505105928974242
p11,4,16,16,0.3,0.001,0.0,0.6851851851851852,0.7101449275362319,0.6125,0.6577181208053692,0.7571646341463415
p11,5,16,16,0.3,0.001,0.0,0.5185185185185185,1.0,0.025,0.04878048780487805,0.6301829268292682
p11,1,16,16,0.3,0.001,0.0001,0.6441717791411042,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.6790123456790123
p11,2,16,16,0.3,0.001,0.0001,0.654320987654321,0.6213592233009708,0.7901234567901234,0.6956521739130435,0.7456180460295686
p11,3,16,16,0.3,0.001,0.0001,0.6172839506172839,0.620253164556962,0.6049382716049383,0.6125,0.6541685718640451
p11,4,16,16,0.3,0.001,0.0001,0.6728395061728395,0.6956521739130435,0.6,0.6442953020134228,0.7234756097560977
p11,5,16,16,0.3,0.001,0.0001,0.5370370370370371,0.5174825174825175,0.925,0.6636771300448431,0.6484756097560975
p11,1,16,16,0.3,0.0005,0.0,0.6503067484662577,0.6621621621621622,0.6049382716049383,0.632258064516129,0.6738934056007226
p11,2,16,16,0.3,0.0005,0.0,0.5802469135802469,0.5467625899280576,0.9382716049382716,0.6909090909090909,0.723670172229843
p11,3,16,16,0.3,0.0005,0.0,0.6419753086419753,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.6561499771376315
p11,4,16,16,0.3,0.0005,0.0,0.6975308641975309,0.7183098591549296,0.6375,0.6754966887417219,0.7452743902439025
p11,5,16,16,0.3,0.0005,0.0,0.6234567901234568,0.6461538461538462,0.525,0.5793103448275863,0.6413109756097561
p11,1,16,16,0.3,0.0005,0.0001,0.6687116564417178,0.6901408450704225,0.6049382716049383,0.6447368421052632,0.6818729298404094
p11,2,16,16,0.3,0.0005,0.0001,0.6111111111111112,0.7368421052631579,0.345679012345679,0.47058823529411764,0.6855662246608748
p11,3,16,16,0.3,0.0005,0.0001,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6508154244779759
p11,4,16,16,0.3,0.0005,0.0001,0.6851851851851852,0.7101449275362319,0.6125,0.6577181208053692,0.7417682926829269
p11,5,16,16,0.3,0.0005,0.0001,0.6172839506172839,0.625,0.5625,0.5921052631578947,0.6653963414634146
p11,1,16,16,0.4,0.001,0.0,0.6319018404907976,0.6329113924050633,0.6172839506172839,0.625,0.6592893706714845
p11,2,16,16,0.4,0.001,0.0,0.5246913580246914,0.5131578947368421,0.9629629629629629,0.6695278969957081,0.6718488035360464
p11,3,16,16,0.4,0.001,0.0,0.6604938271604939,0.6756756756756757,0.6172839506172839,0.6451612903225806,0.6689529035208047
p11,4,16,16,0.4,0.001,0.0,0.6975308641975309,0.7012987012987013,0.675,0.6878980891719745,0.7341463414634146
p11,5,16,16,0.4,0.001,0.0,0.6172839506172839,0.6451612903225806,0.5,0.5633802816901409,0.6530487804878049
p11,1,16,16,0.4,0.001,0.0001,0.6625766871165644,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.6776573321288769
p11,2,16,16,0.4,0.001,0.0001,0.5,0.0,0.0,0.0,0.7517146776406036
p11,3,16,16,0.4,0.001,0.0001,0.6481481481481481,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.6451760402377686
p11,4,16,16,0.4,0.001,0.0001,0.6851851851851852,0.6933333333333334,0.65,0.6709677419354839,0.7254573170731707
p11,5,16,16,0.4,0.001,0.0001,0.6049382716049383,0.7,0.35,0.4666666666666667,0.6391768292682927
