Participant,Fold,Train Total,Train Engaged,Train Disengaged,Validation Total,Validation Engaged,Validation Disengaged,Test Total,Test Engaged,Test Disengaged
p11,1,518,257,261,130,65,65,163,81,82
p11,2,519,258,261,130,64,66,162,81,81
p11,3,519,258,261,130,64,66,162,81,81
p11,4,519,258,261,130,65,65,162,80,82
p11,5,519,258,261,130,65,65,162,80,82
p12,1,592,295,297,149,74,75,186,92,94
p12,2,592,294,298,149,74,75,186,93,93
p12,3,593,295,298,149,74,75,185,92,93
p12,4,593,295,298,149,74,75,185,92,93
p12,5,593,295,298,149,74,75,185,92,93
p17,1,186,93,93,47,23,24,59,30,29
p17,2,186,93,93,47,24,23,59,29,30
p17,3,187,94,93,47,23,24,58,29,29
p17,4,187,94,93,47,23,24,58,29,29
p17,5,187,94,93,47,23,24,58,29,29
p18,1,584,290,294,146,72,74,183,91,92
p18,2,584,290,294,146,72,74,183,91,92
p18,3,584,290,294,146,72,74,183,91,92
p18,4,584,290,294,147,73,74,182,90,92
p18,5,584,290,294,147,73,74,182,90,92
p5,1,226,117,109,57,29,28,71,36,35
p5,2,226,117,109,57,29,28,71,36,35
p5,3,226,116,110,57,29,28,71,37,34
p5,4,226,116,110,57,29,28,71,37,34
p5,5,227,117,110,57,29,28,70,36,34
p7,1,306,153,153,77,39,38,96,48,48
p7,2,306,153,153,77,39,38,96,48,48
p7,3,306,153,153,77,39,38,96,48,48
p7,4,306,153,153,77,39,38,96,48,48
p7,5,307,154,153,77,38,39,95,48,47
p9,1,307,153,154,77,38,39,97,48,49
p9,2,308,153,155,77,38,39,96,48,48
p9,3,308,153,155,77,38,39,96,48,48
p9,4,308,153,155,77,38,39,96,48,48
p9,5,308,154,154,77,38,39,96,47,49
