video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.71,1.97,7.58,40.16,52.26
p5-s10,52.92,1.71,1.24,49.98,48.79
p7-s8,61.89,2.48,7.3,52.11,40.59
p7-s16,17.16,3.44,3.93,9.79,86.28
p9-s3-1,65.05,4.79,21.47,38.79,39.74
p9-s9,35.21,4.25,7.73,23.24,69.04
p11-s4,34.0,2.21,0.64,31.15,68.21
p11-s11,19.94,3.5,0.0,16.45,83.55
p12-s3,56.99,8.56,0.12,48.31,51.57
p12-s6,46.03,5.44,2.24,38.36,59.41
p17-s2,10.74,1.97,1.03,7.74,91.23
p17-s6,23.48,0.55,7.69,15.24,77.07
p18-s15,38.89,0.67,1.16,37.06,61.78
p18-s17,22.43,0.03,2.78,19.62,77.6
