video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.37,1.85,10.06,38.46,51.48
p5-s10,53.31,1.61,3.96,47.74,48.3
p7-s8,63.61,2.14,13.01,48.46,38.54
p7-s16,25.27,2.59,14.94,7.74,77.32
p9-s3-1,65.04,3.17,32.67,29.2,38.13
p9-s9,35.88,4.05,9.65,22.18,68.17
p11-s4,36.37,1.89,7.76,26.72,65.52
p11-s11,21.52,3.34,2.21,15.96,81.83
p12-s3,55.98,7.38,6.22,42.38,51.4
p12-s6,46.45,4.15,12.8,29.5,57.7
p17-s2,17.48,1.63,8.81,7.03,84.15
p17-s6,28.24,0.45,14.48,13.31,72.21
p18-s15,39.63,0.6,5.51,33.52,60.97
p18-s17,22.56,0.03,3.0,19.53,77.47
