video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,52.05,1.97,7.58,42.51,49.92
p5-s10,52.92,1.71,1.24,49.98,48.79
p7-s8,58.92,2.48,7.3,49.14,43.56
p7-s16,17.36,3.44,3.93,9.99,86.08
p9-s3-1,56.19,4.8,21.47,29.92,48.61
p9-s9,35.21,4.25,7.73,23.24,69.04
p11-s4,29.48,2.21,0.64,26.63,72.73
p11-s11,19.01,3.5,0.0,15.51,84.49
p12-s3,56.99,8.56,0.12,48.31,51.57
p12-s6,45.58,5.44,2.24,37.91,59.86
p17-s2,8.81,1.97,1.03,5.8,93.17
p17-s6,13.51,0.55,7.69,5.27,87.04
p18-s15,8.29,0.67,1.16,6.47,92.37
p18-s17,22.45,0.03,2.78,19.64,77.58
