video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,21.07,2.88,11.55,6.64,81.81
p5-s10,18.56,4.21,2.79,11.55,85.65
p7-s8,41.48,4.37,10.57,26.54,62.9
p7-s16,25.69,8.52,7.66,9.51,82.83
p9-s3-1,61.56,10.7,31.32,19.54,49.14
p9-s9,26.94,2.67,9.93,14.34,75.72
p11-s4,20.89,7.3,5.25,8.34,86.41
p11-s11,21.39,5.71,2.76,12.93,84.31
p12-s3,59.56,12.25,5.98,41.33,52.69
p12-s6,44.35,3.45,12.53,28.37,59.1
p17-s2,21.44,8.24,5.11,8.09,86.8
p17-s6,33.47,2.93,5.04,25.51,69.45
p18-s15,11.67,2.75,3.14,5.78,91.08
p18-s17,26.2,0.85,0.73,24.62,74.65
