video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.03,3.06,10.68,37.3,52.03
p5-s10,54.04,4.48,1.56,48.0,50.44
p7-s8,52.13,5.07,7.27,39.79,52.93
p7-s16,23.79,11.31,2.45,10.03,87.52
p9-s3-1,67.11,16.2,20.97,29.94,49.09
p9-s9,19.31,2.79,9.28,7.24,83.48
p11-s4,34.58,8.54,1.43,24.61,73.95
p11-s11,14.06,5.97,0.98,7.1,91.92
p12-s3,53.71,14.21,1.57,37.93,60.5
p12-s6,44.97,4.53,5.91,34.53,59.56
p17-s2,19.21,9.98,0.54,8.69,90.77
p17-s6,22.28,3.57,2.03,16.68,81.29
p18-s15,10.21,3.06,1.5,5.65,92.84
p18-s17,2.86,0.85,0.53,1.47,98.0
