video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.75,2.88,11.55,36.33,52.13
p5-s10,53.84,4.21,2.79,46.84,50.37
p7-s8,54.12,4.38,10.57,39.18,50.26
p7-s16,26.54,8.52,7.66,10.37,81.97
p9-s3-1,65.89,10.7,31.32,23.87,44.81
p9-s9,20.31,2.67,9.94,7.71,82.35
p11-s4,36.04,7.3,5.25,23.49,71.26
p11-s11,15.26,5.71,2.76,6.79,90.45
p12-s3,52.08,12.25,5.98,33.85,60.18
p12-s6,44.35,3.45,12.53,28.37,59.1
p17-s2,22.62,8.24,5.11,9.26,85.63
p17-s6,24.18,2.93,5.04,16.21,78.75
p18-s15,11.67,2.75,3.14,5.78,91.08
p18-s17,3.08,0.85,0.73,1.49,97.77
