speech_start	speech_end	speaker
1.988	3.389	SPEAKER_01
4.553	5.178	SPEAKER_01
5.296	5.853	SPEAKER_02
7.253	9.633	SPEAKER_01
10.308	11.354	SPEAKER_01
12.974	17.682	SPEAKER_03
18.053	20.534	SPEAKER_03
20.973	21.867	SPEAKER_03
25.276	26.39	SPEAKER_03
26.963	27.723	SPEAKER_01
28.297	33.967	SPEAKER_03
34.287	35.992	SPEAKER_01
36.599	38.472	SPEAKER_01
39.552	41.678	SPEAKER_01
42.725	43.383	SPEAKER_02
43.703	44.412	SPEAKER_01
46.083	47.568	SPEAKER_00
48.057	51.01	SPEAKER_01
51.348	53.525	SPEAKER_01
55.55	57.288	SPEAKER_01
58.672	61.844	SPEAKER_01
61.878	63.667	SPEAKER_03
64.072	64.966	SPEAKER_03
65.152	67.97	SPEAKER_01
68.206	71.513	SPEAKER_03
72.104	74.5	SPEAKER_01
75.648	79.597	SPEAKER_02
80.103	80.508	SPEAKER_02
81.183	81.672	SPEAKER_02
83.107	84.338	SPEAKER_01
88.135	89.84	SPEAKER_02
90.785	91.814	SPEAKER_01
96.758	98.277	SPEAKER_03
98.716	99.593	SPEAKER_03
100.387	103.002	SPEAKER_03
103.222	104.639	SPEAKER_03
105.061	106.394	SPEAKER_03
108.166	108.605	SPEAKER_03
109.178	110.63	SPEAKER_01
110.967	113.583	SPEAKER_03
115.186	117.616	SPEAKER_03
117.717	122.425	SPEAKER_01
123.05	123.505	SPEAKER_01
124.383	125.429	SPEAKER_01
126.644	127.707	SPEAKER_01
127.825	128.686	SPEAKER_01
130.728	132.213	SPEAKER_01
132.635	133.63	SPEAKER_01
133.9	134.356	SPEAKER_02
134.862	136.01	SPEAKER_02
138.929	139.807	SPEAKER_03
140.347	142.253	SPEAKER_03
142.844	144.515	SPEAKER_03
144.97	148.2	SPEAKER_01
151.45	153.66	SPEAKER_02
155.095	156.023	SPEAKER_01
156.462	158.69	SPEAKER_03
158.858	166.216	SPEAKER_03
166.688	169.034	SPEAKER_03
170.738	171.329	SPEAKER_03
171.667	179.159	SPEAKER_03
179.632	186.753	SPEAKER_03
188.997	191.461	SPEAKER_03
192.001	195.48	SPEAKER_03
195.77	197.13	SPEAKER_01
197.96	198.65	SPEAKER_03
199.308	202.23	SPEAKER_03
202.3	207.37	SPEAKER_01
208.032	208.927	SPEAKER_01
209.399	212.217	SPEAKER_01
213.432	214.968	SPEAKER_01
215.356	215.93	SPEAKER_02
216.824	217.567	SPEAKER_02
218.123	219.322	SPEAKER_01
220.587	221.262	SPEAKER_01
221.633	224.992	SPEAKER_03
225.464	226.59	SPEAKER_02
228.856	231.505	SPEAKER_03
232.433	233.8	SPEAKER_01
233.91	234.53	SPEAKER_02
236.905	237.395	SPEAKER_03
237.631	238.778	SPEAKER_03
240.044	242.002	SPEAKER_03
242.626	243.892	SPEAKER_03
244.111	249.528	SPEAKER_03
250.085	255.37	SPEAKER_03
256.109	259.163	SPEAKER_03
259.771	260.446	SPEAKER_02
260.952	262.994	SPEAKER_02
263.416	263.922	SPEAKER_01
265.576	268.343	SPEAKER_01
270.824	271.685	SPEAKER_02
279.582	281.06	SPEAKER_02
281.1	283.45	SPEAKER_01
283.45	285.01	SPEAKER_02
288.357	289.64	SPEAKER_02
290.163	290.804	SPEAKER_02
291.243	291.698	SPEAKER_02
291.968	292.897	SPEAKER_02
293.639	296.558	SPEAKER_02
296.93	298.752	SPEAKER_02
300.625	301.45	SPEAKER_01
301.47	301.82	SPEAKER_02
301.992	302.363	SPEAKER_01
