speaker,speech_start,speech_end
SPEAKER_03,0.03096875,1.9209687500000001
SPEAKER_03,5.6334687500000005,7.152218750000001
SPEAKER_02,10.240343750000001,10.712843750000001
SPEAKER_02,11.10096875,17.27721875
SPEAKER_02,17.68221875,19.825343750000002
SPEAKER_02,21.31034375,23.504093750000003
SPEAKER_02,23.85846875,26.23784375
SPEAKER_02,26.47409375,27.85784375
SPEAKER_02,27.97596875,30.96284375
SPEAKER_02,31.43534375,34.48971875
SPEAKER_02,38.28659375,38.64096875
SPEAKER_02,38.89409375,40.09221875
SPEAKER_02,40.345343750000005,42.18471875
SPEAKER_02,42.62346875,43.24784375
SPEAKER_02,43.55159375,44.32784375
SPEAKER_02,44.766593750000006,48.17534375
SPEAKER_02,48.782843750000005,51.24659375
SPEAKER_02,56.275343750000005,58.45221875
SPEAKER_02,58.67159375000001,59.768468750000004
SPEAKER_02,60.375968750000006,63.750968750000006
SPEAKER_02,64.44284375000001,64.84784375000001
SPEAKER_02,64.98284375,65.03346875
SPEAKER_02,65.05034375000001,67.86846875
SPEAKER_02,70.18034375,70.88909375
SPEAKER_02,71.29409375,72.47534375000001
SPEAKER_02,73.36971875,75.31034375
SPEAKER_02,75.71534375,80.54159375
SPEAKER_02,80.96346875,82.83659375
SPEAKER_02,83.41034375000001,85.04721875
SPEAKER_02,85.75596875000001,88.89471875000001
SPEAKER_02,97.18034375,97.92284375000001
SPEAKER_02,98.29409375,105.26346875
SPEAKER_02,105.49971875,109.68471875
SPEAKER_02,110.25846875,113.34659375000001
SPEAKER_02,128.33159375,129.47909375
SPEAKER_02,130.54221875000002,130.82909375
SPEAKER_02,131.16659375,132.36471875
SPEAKER_02,132.51659375,134.40659375
SPEAKER_02,134.86221875,135.43596875
SPEAKER_02,135.77346875,142.18596875
SPEAKER_02,142.96221875,145.27409375000002
SPEAKER_02,148.32846875,148.81784375
SPEAKER_02,149.67846875,151.07909375
SPEAKER_03,182.07846875,183.64784375000002
SPEAKER_03,184.84596875000003,186.11159375000003
SPEAKER_02,186.11159375000003,186.65159375000002
SPEAKER_03,186.65159375000002,186.68534375000002
SPEAKER_03,187.56284375,187.61346875
SPEAKER_02,187.61346875,187.81596875000002
SPEAKER_03,187.81596875000002,187.84971875000002
SPEAKER_02,188.94659375,194.73471875
SPEAKER_02,194.88659375,196.91159375
SPEAKER_02,204.55596875,205.23096875000002
SPEAKER_00,212.14971875,213.60096875000002
SPEAKER_00,217.09409375,218.61284375000002
SPEAKER_02,219.64221875,219.84471875000003
SPEAKER_02,223.10159375,223.82721875000001
SPEAKER_02,224.18159375000002,225.88596875000002
SPEAKER_02,226.34159375000002,228.33284375000002
SPEAKER_02,228.80534375000002,230.13846875000002
