speaker,speech_start,speech_end
SPEAKER_03,5.363468750000001,8.232218750000001
SPEAKER_03,8.62034375,12.36659375
SPEAKER_03,13.902218750000003,14.239718750000002
SPEAKER_03,15.42096875,18.340343750000002
SPEAKER_03,18.660968750000002,20.88846875
SPEAKER_03,21.20909375,24.16221875
SPEAKER_03,27.773468750000003,27.97596875
SPEAKER_02,27.97596875,28.02659375
SPEAKER_03,28.02659375,28.17846875
SPEAKER_02,28.17846875,28.21221875
SPEAKER_03,35.299718750000004,35.43471875
SPEAKER_03,35.58659375,35.78909375
SPEAKER_03,36.95346875,38.657843750000005
SPEAKER_03,40.26096875,42.235343750000006
SPEAKER_03,42.70784375,43.939718750000004
SPEAKER_03,44.19284375,46.994093750000005
SPEAKER_03,47.314718750000004,51.14534375
SPEAKER_03,55.98846875,57.47346875
SPEAKER_03,58.604093750000004,59.27909375
SPEAKER_01,59.312843750000006,60.46034375000001
SPEAKER_03,60.86534375,62.94096875
SPEAKER_01,62.94096875,62.95784375
SPEAKER_03,64.44284375000001,68.59409375
SPEAKER_03,70.23096875,72.93096875
SPEAKER_03,75.14159375,76.87971875000001
SPEAKER_03,78.36471875000001,80.30534375
SPEAKER_03,80.92971875,84.32159375
SPEAKER_03,84.79409375,87.89909375
SPEAKER_03,89.14784375,89.40096875
SPEAKER_02,89.40096875,89.41784375
SPEAKER_03,107.10284375,109.53284375000001
SPEAKER_03,110.22471875000001,112.19909375
SPEAKER_03,112.82346875,117.00846875
SPEAKER_03,117.39659375000001,119.79284375
SPEAKER_03,120.41721875,123.50534375000001
SPEAKER_03,127.09971875000001,128.71971875
SPEAKER_03,130.96409375000002,131.43659375000001
SPEAKER_03,139.31721875,140.68409375000002
SPEAKER_03,140.76846875,141.81471875
SPEAKER_03,142.57409375,144.53159375
SPEAKER_03,144.90284375000002,149.64471875
SPEAKER_03,150.04971875,151.93971875
SPEAKER_03,152.26034375,154.36971875
SPEAKER_03,154.82534375,157.91346875000002
SPEAKER_03,171.31221875,173.42159375
SPEAKER_02,171.95346875,171.97034375
SPEAKER_00,171.97034375,172.03784375
SPEAKER_02,172.03784375,172.20659375000002
SPEAKER_03,173.89409375000002,178.68659375000001
SPEAKER_03,179.07471875000002,186.78659375
SPEAKER_03,187.25909375,189.62159375000002
SPEAKER_01,189.62159375000002,190.46534375000002
SPEAKER_01,191.34284375000001,192.06846875000002
SPEAKER_03,192.70971875,194.44784375
SPEAKER_03,195.81471875000003,197.01284375
SPEAKER_03,200.75909375,203.07096875000002
SPEAKER_03,203.57721875000001,203.81346875000003
SPEAKER_03,204.43784375,209.38221875000002
SPEAKER_03,211.01909375000002,211.87971875000002
SPEAKER_01,212.80784375000002,214.69784375
SPEAKER_03,216.46971875000003,219.86159375000003
SPEAKER_03,220.63784375,223.65846875000003
SPEAKER_01,225.43034375000002,226.49346875
SPEAKER_01,227.42159375000003,227.72534375
SPEAKER_03,229.63221875000002,230.22284375
SPEAKER_02,230.22284375,230.23971875
SPEAKER_03,230.23971875,230.27346875
SPEAKER_02,230.27346875,230.30721875
SPEAKER_03,230.30721875,230.42534375000002
SPEAKER_02,230.42534375000002,230.44221875000002
SPEAKER_03,230.44221875000002,230.96534375000002
SPEAKER_02,230.96534375000002,231.10034375
SPEAKER_01,232.88909375,234.42471875
SPEAKER_01,235.85909375000003,235.96034375000002
SPEAKER_02,235.96034375000002,236.02784375000002
SPEAKER_01,236.02784375000002,236.16284375
SPEAKER_01,236.80409375000002,237.98534375000003
SPEAKER_01,238.72784375,239.62221875
SPEAKER_01,240.60096875000002,241.30971875
SPEAKER_01,241.73159375,243.21659375000002
SPEAKER_02,243.38534375,244.00971875000002
SPEAKER_01,244.49909375000001,247.11471875
SPEAKER_01,250.70909375000002,251.23221875000002
SPEAKER_01,251.68784375,252.86909375000002
SPEAKER_03,253.67909375000002,254.38784375000003
SPEAKER_03,254.67471875,257.71221875000003
SPEAKER_01,258.60659375,260.02409375
SPEAKER_01,260.24346875000003,261.08721875000003
SPEAKER_01,261.55971875,262.16721875
SPEAKER_01,262.70721875000004,263.61846875000003
SPEAKER_01,263.97284375000004,264.86721875
SPEAKER_02,265.99784375,268.42784375
SPEAKER_02,270.08159375,270.43596875000003
SPEAKER_01,271.26284375,274.77284375
SPEAKER_01,275.31284375,278.80596875000003
SPEAKER_01,281.42159375,281.91096875
SPEAKER_01,283.86846875000003,283.88534375
SPEAKER_01,284.20596875,284.98221875
SPEAKER_02,284.22284375000004,285.50534375
SPEAKER_01,286.19721875,288.25596875
SPEAKER_02,289.25159375000004,290.55096875000004
SPEAKER_01,291.00659375000004,292.13721875000005
SPEAKER_01,293.13284375,293.65596875
SPEAKER_01,295.32659375000003,296.13659375000003
SPEAKER_02,297.48659375,300.10221875
SPEAKER_01,298.81971875,299.49471875
SPEAKER_01,305.36721875,306.04221875
SPEAKER_02,306.70034375,309.24846875000003
SPEAKER_02,310.53096875,312.85971875
SPEAKER_01,313.53471875,314.66534375000003
SPEAKER_03,320.47034375000004,321.76971875000004
SPEAKER_03,323.69346875,325.14471875000004
SPEAKER_03,325.58346875,327.27096875
SPEAKER_03,327.79409375,329.92034375000003
SPEAKER_01,328.28346875,328.53659375
SPEAKER_03,330.40971875,336.28221875
SPEAKER_03,336.72096875,339.87659375000004
SPEAKER_03,340.85534375000003,341.02409375
SPEAKER_03,343.67346875000004,343.74096875000004
SPEAKER_03,351.84096875,358.03409375
SPEAKER_03,358.10159375,361.89846875
SPEAKER_03,362.28659375,365.37471875
SPEAKER_03,369.37409375000004,369.96471875000003
SPEAKER_02,369.96471875000003,370.06596875
SPEAKER_03,381.08534375000005,383.48159375
SPEAKER_03,383.95409375,384.74721875
SPEAKER_03,385.74284375,390.94034375
SPEAKER_03,391.34534375000004,394.41659375
SPEAKER_03,398.61846875000003,398.82096875
SPEAKER_02,411.30846875000003,411.32534375
SPEAKER_03,411.32534375,412.96221875000003
SPEAKER_03,414.58221875000004,417.53534375000004
SPEAKER_03,417.78846875000005,419.79659375
SPEAKER_03,420.43784375,423.50909375000003
SPEAKER_03,427.44096875,430.27596875
SPEAKER_03,430.84971875,431.05221875
SPEAKER_03,431.25471875000005,434.68034375
SPEAKER_02,433.87034375,434.32596875
SPEAKER_03,434.91659375,435.11909375000005
SPEAKER_03,435.81096875000003,437.00909375000003
SPEAKER_03,437.38034375,438.42659375000005
SPEAKER_03,439.45596875,441.61596875000004
SPEAKER_03,442.25721875000005,446.40846875000005
SPEAKER_03,446.88096875,449.81721875000005
SPEAKER_03,450.82971875000004,452.87159375000005
SPEAKER_03,454.06971875000005,457.41096875000005
SPEAKER_03,458.62596875,459.01409375000003
SPEAKER_02,459.01409375000003,459.03096875000006
SPEAKER_03,459.57096875,462.22034375000004
SPEAKER_03,462.67596875000004,464.73471875
SPEAKER_03,465.22409375,472.64909375
SPEAKER_03,472.93596875000003,473.96534375000005
SPEAKER_03,474.55596875000003,475.61909375000005
SPEAKER_03,478.31909375000004,479.95596875
SPEAKER_03,480.31034375,480.96846875000006
SPEAKER_02,480.96846875000006,481.03596875000005
SPEAKER_03,481.03596875000005,481.49159375000005
SPEAKER_02,481.49159375000005,481.55909375000005
SPEAKER_03,481.55909375000005,481.57596875
SPEAKER_03,482.01471875000004,486.99284375
SPEAKER_03,487.56659375000004,494.62034375
SPEAKER_03,495.22784375000003,498.29909375000005
SPEAKER_03,506.82096875,507.63096875
SPEAKER_03,511.52909375,517.77284375
SPEAKER_03,523.3078437500001,525.4340937500001
SPEAKER_03,534.8672187500001,535.62659375
SPEAKER_03,535.9978437500001,537.33096875
SPEAKER_03,537.90471875,545.07659375
SPEAKER_03,545.51534375,549.66659375
SPEAKER_03,550.2065937500001,553.2609687500001
SPEAKER_03,553.37909375,554.5434687500001
SPEAKER_03,556.99034375,557.68221875
SPEAKER_03,558.0872187500001,559.28534375
SPEAKER_03,560.0615937499999,563.1159687500001
SPEAKER_03,563.5378437500001,569.1740937500001
SPEAKER_03,569.56221875,571.51971875
SPEAKER_03,572.02596875,575.0972187500001
SPEAKER_03,578.0672187499999,578.4553437500001
