speaker,speech_start,speech_end
SPEAKER_01,1.0265937500000002,2.27534375
SPEAKER_01,2.52846875,3.3553437500000003
SPEAKER_01,6.544718750000001,7.21971875
SPEAKER_01,7.91159375,12.484718750000003
SPEAKER_01,12.94034375,15.10034375
SPEAKER_01,15.488468750000003,18.74534375
SPEAKER_01,19.11659375,20.04471875
SPEAKER_01,20.48346875,21.54659375
SPEAKER_01,24.769718750000003,26.71034375
SPEAKER_01,27.31784375,28.48221875
SPEAKER_01,28.70159375,29.24159375
SPEAKER_01,29.528468750000002,31.43534375
SPEAKER_01,31.789718750000002,34.439093750000005
SPEAKER_01,34.62471875,43.87221875
SPEAKER_02,35.924093750000004,36.63284375
SPEAKER_02,37.64534375,38.26971875
SPEAKER_00,44.17596875,44.49659375
SPEAKER_02,44.49659375,44.59784375
SPEAKER_02,44.85096875,45.45846875
SPEAKER_02,45.610343750000006,45.930968750000005
SPEAKER_02,46.82534375,47.28096875
SPEAKER_02,47.33159375,47.36534375
SPEAKER_02,47.736593750000004,51.36471875
SPEAKER_03,52.039718750000006,56.460968750000006
SPEAKER_02,55.549718750000004,56.02221875
SPEAKER_03,56.95034375,58.82346875
SPEAKER_02,57.67596875,58.165343750000005
SPEAKER_00,58.165343750000005,58.182218750000004
SPEAKER_00,74.14596875000001,74.23034375
SPEAKER_00,74.41596875,74.51721875
SPEAKER_00,74.61846875,74.63534375
SPEAKER_00,74.71971875,75.83346875000001
SPEAKER_01,80.96346875,82.14471875000001
SPEAKER_01,82.49909375,86.49846875
SPEAKER_02,83.59596875000001,83.98409375
SPEAKER_02,84.77721875,86.14409375000001
SPEAKER_01,87.00471875000001,91.91534375
SPEAKER_02,87.05534375,88.16909375
SPEAKER_02,88.72596875,88.81034375
SPEAKER_00,90.59909375000001,90.78471875000001
SPEAKER_01,92.37096875,93.92346875000001
SPEAKER_01,94.17659375000001,94.90221875
SPEAKER_01,94.95284375,98.34471875000001
SPEAKER_01,98.90159375,103.44096875000001
SPEAKER_00,99.39096875000001,100.69034375000001
SPEAKER_00,101.24721875,103.32284375
SPEAKER_00,103.44096875000001,103.50846875
SPEAKER_00,105.46596875,105.75284375000001
SPEAKER_00,105.97221875000001,105.98909375000001
SPEAKER_02,109.97159375000001,110.03909375
SPEAKER_02,110.08971875,111.18659375
SPEAKER_02,114.49409375,117.10971875000001
SPEAKER_02,118.99971875000001,120.87284375
SPEAKER_00,119.42159375000001,120.53534375000001
SPEAKER_01,120.53534375000001,120.73784375000001
SPEAKER_02,122.03721875000001,123.58971875
SPEAKER_01,122.62784375000001,122.88096875000001
SPEAKER_01,123.04971875000001,123.08346875000001
SPEAKER_02,123.74159375,125.66534375
SPEAKER_01,124.29846875000001,125.19284375000001
SPEAKER_02,125.95221875000001,126.88034375000001
SPEAKER_02,127.18409375,131.80784375000002
SPEAKER_02,132.83721875,135.23346875000001
SPEAKER_01,134.81159375000001,134.84534375
SPEAKER_00,134.84534375,134.96346875
SPEAKER_01,134.96346875,134.98034375
SPEAKER_02,135.80721875,136.53284375
SPEAKER_02,137.88284375,138.79409375
SPEAKER_02,139.30034375,140.21159375000002
SPEAKER_02,145.47659375,148.26096875000002
SPEAKER_02,148.64909375000002,149.40846875
SPEAKER_01,153.84659375,153.86346875
SPEAKER_00,153.86346875,153.91409375
SPEAKER_01,153.91409375,154.53846875000002
SPEAKER_01,154.85909375,155.41596875000002
SPEAKER_01,156.22596875000002,158.79096875000002
SPEAKER_01,159.63471875000002,160.61346875
SPEAKER_01,161.40659375,162.67221875
SPEAKER_01,163.43159375000002,163.97159375
SPEAKER_02,163.97159375,164.03909375
SPEAKER_01,164.03909375,164.47784375
SPEAKER_02,165.47346875000002,165.81096875
SPEAKER_02,166.09784375,166.14846875
SPEAKER_01,166.14846875,166.97534375
SPEAKER_02,166.97534375,167.02596875
SPEAKER_01,167.02596875,167.51534375
SPEAKER_01,168.44346875000002,168.79784375
SPEAKER_01,169.55721875,175.91909375
SPEAKER_02,175.96971875,178.12971875000002
SPEAKER_01,181.97721875000002,182.29784375
SPEAKER_01,182.80409375000002,186.83721875
