speaker,speech_start,speech_end
SPEAKER_00,1.7522187500000002,2.37659375
SPEAKER_01,3.87846875,5.61659375
SPEAKER_00,5.61659375,6.865343750000001
SPEAKER_01,6.4772187500000005,7.050968750000001
SPEAKER_00,7.422218750000001,7.91159375
SPEAKER_00,7.96221875,7.995968750000001
SPEAKER_01,7.995968750000001,8.805968750000002
SPEAKER_00,8.805968750000002,9.059093750000002
SPEAKER_01,9.68346875,15.134093750000002
SPEAKER_01,15.31971875,19.53846875
SPEAKER_01,20.17971875,23.28471875
SPEAKER_01,24.70221875,27.21659375
SPEAKER_01,28.43159375,29.59596875
SPEAKER_01,30.11909375,30.86159375
SPEAKER_01,32.768468750000004,33.32534375
SPEAKER_01,34.28721875,35.53596875
SPEAKER_01,36.04221875,45.35721875
SPEAKER_01,47.112218750000004,54.11534375
SPEAKER_01,55.68471875,56.174093750000004
SPEAKER_01,56.83221875,62.14784375000001
SPEAKER_01,63.666593750000004,71.86784375
SPEAKER_01,73.50471875000001,73.85909375
SPEAKER_00,76.72784375,79.12409375
SPEAKER_01,79.24221875,80.37284375
SPEAKER_01,81.48659375000001,82.33034375000001
SPEAKER_01,82.63409375,82.98846875000001
SPEAKER_01,83.81534375000001,84.16971875
SPEAKER_01,84.43971875000001,85.35096875
SPEAKER_01,86.68409375,91.27409375
SPEAKER_00,91.27409375,91.29096875
SPEAKER_01,92.48909375000001,93.02909375
SPEAKER_01,94.59846875000001,94.61534375000001
SPEAKER_00,94.86846875,95.50971875
SPEAKER_01,95.71221875,96.23534375000001
SPEAKER_01,98.31096875,98.69909375
SPEAKER_00,98.85096875,99.69471875
SPEAKER_01,100.84221875,101.60159375
SPEAKER_01,105.28034375,105.97221875000001
SPEAKER_00,106.71471875,107.18721875
SPEAKER_00,107.38971875,108.80721875
SPEAKER_01,110.07284375,110.46096875
SPEAKER_00,110.46096875,110.47784375
SPEAKER_00,111.38909375,114.89909375
SPEAKER_01,115.13534375,115.15221875
SPEAKER_00,115.15221875,115.37159375
SPEAKER_01,115.37159375,115.40534375
SPEAKER_00,116.24909375,116.43471875
SPEAKER_00,116.89034375000001,118.78034375000001
SPEAKER_01,120.26534375000001,121.32846875000001
SPEAKER_01,121.63221875,122.56034375
SPEAKER_01,123.42096875000001,127.06596875000001
SPEAKER_01,128.98971875,130.22159375
SPEAKER_01,130.76159375,132.55034375
SPEAKER_01,132.82034375,134.45721875
SPEAKER_00,134.65971875,135.89159375
SPEAKER_01,136.39784375000002,137.00534375
SPEAKER_01,137.91659375,138.43971875
SPEAKER_01,140.48159375,141.29159375
SPEAKER_00,142.01721875,143.73846875
SPEAKER_01,145.47659375,145.51034375
SPEAKER_00,145.51034375,145.64534375
SPEAKER_01,145.64534375,146.75909375
SPEAKER_00,146.92784375000002,147.92346875
SPEAKER_00,147.97409375,148.59846875000002
SPEAKER_00,148.75034375,149.69534375
SPEAKER_00,150.43784375,151.19721875000002
SPEAKER_00,151.56846875000002,154.48784375
SPEAKER_00,154.50471875000002,154.57221875000002
SPEAKER_01,154.57221875000002,155.24721875
SPEAKER_00,155.24721875,156.27659375000002
SPEAKER_00,157.17096875000001,158.31846875000002
SPEAKER_01,158.97659375,160.25909375
SPEAKER_00,160.09034375000002,160.98471875
SPEAKER_01,160.98471875,161.10284375
SPEAKER_01,161.40659375,161.91284375
SPEAKER_00,162.01409375,162.90846875
SPEAKER_01,162.90846875,162.95909375000002
SPEAKER_01,163.51596875,164.64659375000002
SPEAKER_01,165.72659375,167.58284375000002
SPEAKER_01,168.71346875,169.15221875
SPEAKER_01,169.82721875000001,171.76784375
SPEAKER_01,172.54409375,173.30346875
SPEAKER_00,174.80534375000002,176.12159375000002
SPEAKER_01,177.06659375,183.14159375
SPEAKER_01,183.79971875,190.46534375000002
SPEAKER_01,191.05596875,191.12346875
SPEAKER_00,191.12346875,192.57471875000002
SPEAKER_01,192.57471875000002,193.92471875
SPEAKER_00,193.65471875,194.54909375000003
SPEAKER_00,195.05534375000002,196.03409375
SPEAKER_00,196.11846875,199.02096875
SPEAKER_00,199.20659375000002,199.35846875000001
SPEAKER_01,199.35846875000001,200.03346875000003
SPEAKER_00,200.25284375,201.72096875000003
SPEAKER_00,202.90221875,203.52659375000002
SPEAKER_00,203.84721875000002,204.45471875
SPEAKER_00,209.09534375,209.43284375000002
SPEAKER_01,209.43284375000002,209.46659375000002
SPEAKER_01,209.60159375,209.63534375
SPEAKER_00,209.63534375,209.97284375
SPEAKER_01,209.97284375,210.51284375
SPEAKER_01,210.68159375000002,211.30596875
SPEAKER_01,212.21721875,214.41096875000002
SPEAKER_01,215.18721875,215.54159375
SPEAKER_01,216.26721875,220.95846875
