	Model Type	Audio Type	Speaker Mode	Overlap Mode	VAD	Embedding	video_id	DER	False Alarm %	Missed Speech %	Confusion %	Correct %
0	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p5-s8	49.08	2.95	41.81	4.32	53.87
1	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p5-s10	49.2	2.1	37.87	9.23	52.9
2	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p7-s8	71.35	2.1	54.5	14.75	30.75
3	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p7-s16	47.26	1.47	40.94	4.85	54.21
4	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p9-s3-1	85.74	3.2	76.83	5.71	17.46
5	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p9-s9	51.78	4.6	44.85	2.33	52.81
6	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p11-s4	51.59	3.63	38.71	9.25	52.04
7	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p11-s11	42.16	1.54	30.77	9.86	59.37
8	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p12-s3	90.49	0.48	86.38	3.64	9.98
9	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p12-s6	93.06	0.15	91.16	1.75	7.09
10	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p17-s2	56.84	6.18	27.82	22.84	49.34
11	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p17-s6	38.67	2.43	33.08	3.16	63.76
12	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p18-s15	48.34	1.68	40.78	5.89	53.33
13	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p18-s17	37.07	2.33	25.59	9.15	65.26
14	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p5-s8	50.61	2.95	41.81	5.84	52.34
15	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p5-s10	47.64	2.1	37.87	7.66	54.47
16	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p7-s8	70.35	2.1	54.5	13.75	31.74
17	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p7-s16	46.87	1.47	40.94	4.45	54.61
18	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p9-s3-1	86.04	3.2	76.83	6.01	17.16
19	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p9-s9	70.16	4.6	44.85	20.71	34.44
20	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p11-s4	47.87	3.63	38.71	5.53	55.76
21	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p11-s11	37.36	1.54	30.77	5.05	64.18
22	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p12-s3	90.29	0.48	86.38	3.43	10.19
23	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p12-s6	93.98	0.15	91.16	2.67	6.17
24	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p17-s2	57.77	6.18	27.82	23.78	48.41
25	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p17-s6	44.05	2.43	33.08	8.54	58.38
26	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p18-s15	51.5	1.68	40.78	9.04	50.18
27	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p18-s17	41.24	2.33	25.59	13.32	61.09
28	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p5-s8	67.89	0.32	65.85	1.72	32.43
29	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p5-s10	47.86	1.09	40.65	6.11	53.23
30	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p7-s8	82.7	0.32	67.78	14.59	17.63
31	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p7-s16	62.86	0.48	52.48	9.9	37.62
32	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p9-s3-1	93.23	0.54	87.91	4.78	7.31
33	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p9-s9	68.82	0.25	62.25	6.33	31.42
34	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p11-s4	66.18	0.51	57.49	8.18	34.33
35	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p11-s11	69.58	0.32	60.53	8.73	30.74
36	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p12-s3	93.54	0.19	92.27	1.08	6.65
37	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p12-s6	93.38	0.04	90.9	2.44	6.66
38	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p17-s2	55.14	1.47	30.72	22.95	46.34
39	ClusteringDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p17-s6	44.67	0.52	37.35	6.8	55.85
