,,,,,,,,,,,,,,,,,,,,,
Model Type,Audio Type,Speaker Mode,VAD,Embedding,Overlap Mode,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std,
0,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,40.767857,35.5,15.605502,5.769286,4.815,3.307482,22.065,19.045,8.193277,12.932857,8.465,10.894119,65.000714,68.85,13.766737
1,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,43.327857,37.565,14.177512,4.878571,4.245,2.630361,27.032143,24.35,8.216749,11.417143,8.215,9.462116,61.550714,65.9,12.819867
2,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,42.722857,35.265,17.244402,5.769286,4.815,3.307482,22.065,19.045,8.193277,14.889286,11.865,11.520088,63.045,69.13,15.612026
3,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,44.972143,38.775,15.58294,4.878571,4.245,2.630361,27.032143,24.35,8.216749,13.061429,11.6,9.843559,59.906429,64.35,14.43511
4,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,32.743571,22.6,18.757224,9.812143,6.615,9.279986,11.17,7.98,8.282972,11.762857,7.655,8.889372,77.069286,83.185,14.655422
5,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,35.435,28.74,17.158799,8.192143,5.635,7.243088,16.869286,15.21,8.98929,10.373571,7.55,7.911007,72.757857,76.09,14.148855
6,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,37.412857,28.465,22.596863,9.812143,6.615,9.279986,11.17,7.98,8.282972,16.431429,11.605,13.13946,72.399286,78.08,15.875126
7,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,39.393571,30.38,19.901675,8.192143,5.635,7.243088,16.869286,15.21,8.98929,14.331429,10.055,11.099446,68.797143,74.755,14.927071
8,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,41.696429,25.15,29.079904,15.499286,10.06,14.189922,10.784286,7.625,9.380037,15.411429,8.75,14.905322,73.804286,83.95,18.12262
9,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,43.037143,31.15,25.228644,13.029286,9.07,11.325855,16.556429,13.855,9.670153,13.452857,8.315,12.650966,69.991429,77.88,16.995566
10,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,42.99,34.32,27.086063,15.499286,10.06,14.189922,10.784286,7.625,9.380037,16.703571,10.97,13.710926,72.509286,78.84,15.899287
11,ClusteringDiarizer,denoised_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,44.040714,36.825,23.386113,13.029286,9.07,11.325855,16.556429,13.855,9.670153,14.455,10.78,11.410589,68.987857,73.36,15.133991
12,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,45.764286,43.91,13.249693,5.769286,4.815,3.307482,22.065,19.045,8.193277,17.93,18.615,8.317082,60.004286,65.06,13.331393
13,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,47.862143,47.04,12.305771,4.878571,4.245,2.630361,27.032143,24.35,8.216749,15.952143,16.555,7.750885,57.015714,61.075,12.532023
14,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,40.837857,36.315,13.301633,5.769286,4.815,3.307482,22.065,19.045,8.193277,13.004286,8.765,9.018497,64.929286,68.81,12.640962
15,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,43.419286,38.385,12.769926,4.878571,4.245,2.630361,27.032143,24.35,8.216749,11.507857,8.655,7.654844,61.459286,65.46,12.544278
16,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,39.839286,34.455,16.204461,9.812143,6.615,9.279986,11.17,7.98,8.282972,18.858571,19.835,10.621467,69.972857,74.695,13.41666
17,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,41.972857,37.95,15.164919,8.192143,5.635,7.243088,16.869286,15.21,8.98929,16.91,16.665,9.615432,66.219286,68.735,13.381618
18,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,36.183571,31.855,16.221804,9.812143,6.615,9.279986,11.17,7.98,8.282972,15.202143,13.13,8.373278,73.629286,76.935,13.511693
19,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,38.545714,35.215,15.170757,8.192143,5.635,7.243088,16.869286,15.21,8.98929,13.485,12.33,7.364794,69.647143,72.52,13.484604
20,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,43.17,41.695,19.394798,15.499286,10.06,14.189922,10.784286,7.625,9.380037,16.885714,16.2,10.474205,72.330714,76.015,14.312672
21,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,44.689286,42.38,17.084102,13.029286,9.07,11.325855,16.556429,13.855,9.670153,15.105714,14.075,9.40222,68.340714,69.295,13.708941
22,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,38.409286,32.19,20.286341,15.499286,10.06,14.189922,10.784286,7.625,9.380037,12.124286,9.97,8.623683,77.091429,82.7,13.242043
23,ClusteringDiarizer,denoised_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,40.237143,34.975,18.040627,13.029286,9.07,11.325855,16.556429,13.855,9.670153,10.651429,9.21,7.302492,72.792143,76.95,13.194527
24,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,54.904286,47.29,21.957807,2.905714,2.385,1.918227,44.573571,37.39,22.733716,7.426429,5.32,5.618042,47.999286,54.96,22.681272
25,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,57.400714,48.23,20.282515,2.488571,2.215,1.581907,47.935,40.86,21.442627,6.976429,4.915,5.637676,45.086429,53.705,20.938666
26,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,53.055,42.605,21.755669,2.905714,2.385,1.918227,44.573571,37.39,22.733716,5.577143,4.36,2.904904,49.849286,59.45,22.515797
27,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,55.527857,45.44,20.24255,2.488571,2.215,1.581907,47.935,40.86,21.442627,5.105,3.995,2.693664,46.959286,56.39,20.980471
28,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,61.77,61.445,22.108147,0.598571,0.58,0.441324,55.799286,56.655,22.563821,5.374286,3.505,3.806094,38.827143,39.02,22.409023
29,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,64.083571,63.55,20.459568,0.510714,0.495,0.36827,58.567857,59.01,21.286253,5.002143,3.295,3.795508,36.428571,36.865,20.723377
30,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,60.049286,59.535,21.314289,0.598571,0.58,0.441324,55.799286,56.655,22.563821,3.652857,2.525,2.638847,40.548571,40.895,21.602351
31,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,62.401429,62.08,19.882501,0.510714,0.495,0.36827,58.567857,59.01,21.286253,3.32,2.32,2.600648,38.11,38.3,20.140605
32,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,56.86,55.24,26.165406,4.918571,3.205,4.713372,46.465,37.385,28.230944,5.479286,4.275,3.494595,48.057857,56.8,28.138437
