video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,29.94,5.44,17.01,7.49,75.5
p5-s10,38.06,5.15,11.01,21.9,67.09
p7-s8,54.55,6.24,23.62,24.69,51.69
p7-s16,52.55,4.83,18.82,28.89,52.28
p9-s3-1,73.07,6.51,43.37,23.18,33.44
p9-s9,33.33,8.48,19.8,5.04,75.16
p11-s4,28.69,5.83,13.02,9.84,77.14
p11-s11,49.88,6.97,5.9,37.01,57.09
p12-s3,54.31,22.43,12.23,19.66,68.11
p12-s6,57.86,27.22,15.4,15.24,69.36
p17-s2,37.84,4.74,15.02,18.09,66.89
p17-s6,32.45,4.22,19.86,8.36,71.78
p18-s15,20.14,3.18,12.13,4.83,83.04
p18-s17,24.95,3.45,8.98,12.52,78.5
