video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,73.43,0.32,65.85,7.26,26.9
p5-s10,44.7,1.09,40.65,2.95,56.39
p7-s8,71.74,0.32,67.78,3.64,28.58
p7-s16,54.95,0.48,52.48,1.99,45.53
p9-s3-1,92.68,0.54,87.91,4.22,7.86
p9-s9,74.24,0.25,62.25,11.75,26.01
p11-s4,60.53,0.51,57.49,2.53,39.98
p11-s11,66.57,0.32,60.53,5.71,33.75
p12-s3,95.08,0.19,92.27,2.61,5.12
p12-s6,92.58,0.04,90.9,1.63,7.46
p17-s2,34.34,1.47,30.72,2.15,67.13
p17-s6,39.24,0.52,37.35,1.37,61.28
p18-s15,56.89,0.53,46.04,10.32,43.64
p18-s17,40.2,0.57,27.73,11.9,60.37
