video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,28.5,5.78,14.76,7.96,77.29
p5-s10,18.05,5.48,8.2,4.37,87.44
p7-s8,48.06,7.23,18.29,22.54,59.17
p7-s16,22.92,6.42,7.74,8.77,83.49
p9-s3-1,64.57,9.87,34.74,19.97,45.29
p9-s9,53.68,8.89,18.04,26.75,55.21
p11-s4,19.0,6.81,5.72,6.46,87.82
p11-s11,28.43,7.29,3.64,17.49,78.87
p12-s3,78.77,26.0,5.53,47.25,47.22
p12-s6,76.59,35.7,4.17,36.71,59.11
p17-s2,17.08,5.74,6.77,4.57,88.66
p17-s6,31.81,5.15,12.23,14.44,73.34
p18-s15,16.29,3.54,7.76,4.99,87.24
p18-s17,20.03,3.47,8.79,7.77,83.44
