video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,28.5,5.78,14.76,7.96,77.29
p5-s10,39.25,5.48,8.2,25.57,66.24
p7-s8,59.06,7.23,18.29,33.55,48.17
p7-s16,34.04,6.42,7.74,19.88,72.38
p9-s3-1,68.68,9.87,34.74,24.07,41.19
p9-s9,34.65,8.89,18.04,7.72,74.24
p11-s4,21.83,6.81,5.72,9.29,84.99
p11-s11,23.43,7.29,3.64,12.5,83.86
p12-s3,45.29,26.0,5.53,13.76,80.71
p12-s6,59.12,35.7,4.17,19.25,76.58
p17-s2,29.67,5.74,6.77,17.17,76.06
p17-s6,26.73,5.15,12.23,9.35,78.42
p18-s15,16.29,3.54,7.76,4.99,87.24
p18-s17,20.03,3.47,8.79,7.77,83.44
