video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,66.97,0.34,64.81,1.82,33.37
p5-s10,46.21,1.16,39.18,5.87,54.95
p7-s8,81.28,0.37,64.96,15.94,19.09
p7-s16,58.14,0.64,45.58,11.92,42.5
p9-s3-1,91.52,0.82,84.48,6.22,9.3
p9-s9,67.64,0.26,61.05,6.33,32.62
p11-s4,62.71,0.6,53.16,8.96,37.89
p11-s11,69.16,0.34,60.15,8.68,31.18
p12-s3,93.3,0.22,91.87,1.21,6.92
p12-s6,94.17,0.05,91.1,3.02,5.89
p17-s2,50.41,1.79,22.9,25.73,51.37
p17-s6,39.72,0.63,30.93,8.16,60.91
p18-s15,47.98,0.58,43.43,3.97,52.6
p18-s17,36.46,0.58,27.59,8.29,64.12
