video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,67.89,0.32,65.85,1.72,32.43
p5-s10,47.86,1.09,40.65,6.11,53.23
p7-s8,82.7,0.32,67.78,14.59,17.63
p7-s16,62.86,0.48,52.48,9.9,37.62
p9-s3-1,93.23,0.54,87.91,4.78,7.31
p9-s9,68.82,0.25,62.25,6.33,31.42
p11-s4,66.18,0.51,57.49,8.18,34.33
p11-s11,69.58,0.32,60.53,8.73,30.74
p12-s3,93.54,0.19,92.27,1.08,6.65
p12-s6,93.38,0.04,90.9,2.44,6.66
p17-s2,55.14,1.47,30.72,22.95,46.34
p17-s6,44.67,0.52,37.35,6.8,55.85
p18-s15,50.16,0.53,46.04,3.59,50.37
p18-s17,36.55,0.57,27.73,8.25,64.02
