video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,36.85,3.63,26.99,6.23,66.78
p5-s10,40.11,3.9,20.4,15.81,63.79
p7-s8,61.58,4.71,37.64,19.23,43.13
p7-s16,47.88,2.87,24.73,20.28,54.99
p9-s3-1,72.34,4.41,49.21,18.72,32.07
p9-s9,58.99,5.41,28.41,25.17,46.42
p11-s4,36.54,4.54,23.75,8.25,68.0
p11-s11,25.53,4.48,18.49,2.56,78.95
p12-s3,47.83,11.77,20.66,15.41,63.94
p12-s6,46.25,9.67,23.36,13.21,63.42
p17-s2,45.35,4.08,23.97,17.3,58.73
p17-s6,38.71,2.96,27.97,7.79,64.24
p18-s15,59.39,3.3,32.49,23.6,43.91
p18-s17,52.72,2.57,20.38,29.77,49.85
