video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.27,3.14,40.03,6.1,53.87
p5-s10,42.14,2.24,36.19,3.71,60.09
p7-s8,67.26,2.43,50.98,13.85,35.17
p7-s16,38.32,1.95,31.86,4.5,63.64
p9-s3-1,84.19,4.85,72.32,7.03,20.65
p9-s9,67.29,4.82,43.54,18.93,37.53
p11-s4,40.58,4.25,33.26,3.08,63.67
p11-s11,33.14,1.61,28.92,2.62,68.46
p12-s3,90.77,0.55,85.68,4.54,9.78
p12-s6,94.82,0.19,91.71,2.92,5.37
p17-s2,30.75,7.48,19.97,3.3,76.73
p17-s6,35.55,2.97,25.61,6.98,67.41
p18-s15,48.29,1.86,38.59,7.83,53.57
p18-s17,46.29,2.34,25.37,18.58,56.05
