video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.61,2.95,41.81,5.84,52.34
p5-s10,43.47,2.1,37.87,3.49,58.63
p7-s8,69.18,2.1,54.5,12.58,32.92
p7-s16,46.4,1.47,40.94,3.99,55.07
p9-s3-1,86.01,3.2,76.83,5.98,17.19
p9-s9,68.24,4.6,44.85,18.79,36.36
p11-s4,45.05,3.63,38.71,2.7,58.59
p11-s11,35.26,1.54,30.77,2.95,66.27
p12-s3,90.77,0.48,86.38,3.91,9.71
p12-s6,93.63,0.15,91.16,2.32,6.52
p17-s2,36.87,6.18,27.82,2.88,69.31
p17-s6,41.66,2.43,33.08,6.15,60.77
p18-s15,49.92,1.68,40.78,7.47,51.75
p18-s17,46.54,2.33,25.59,18.62,55.78
