video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,33.06,3.86,24.83,4.38,70.8
p5-s10,26.48,4.15,17.85,4.48,77.67
p7-s8,59.79,5.46,33.57,20.76,45.66
p7-s16,25.16,3.82,14.43,6.92,78.65
p9-s3-1,80.95,6.69,41.33,32.93,25.74
p9-s9,54.61,5.67,27.05,21.89,51.06
p11-s4,28.45,5.31,17.76,5.38,76.86
p11-s11,34.66,4.69,16.48,13.49,70.02
p12-s3,70.91,13.64,15.17,42.1,42.74
p12-s6,43.68,12.69,13.7,17.29,69.01
p17-s2,37.08,4.94,16.03,16.11,67.86
p17-s6,34.35,3.6,21.14,9.61,69.25
p18-s15,35.87,3.67,29.33,2.87,67.8
p18-s17,33.07,2.58,20.24,10.24,69.51
