video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,35.25,3.86,24.83,6.56,68.61
p5-s10,31.52,4.15,17.85,9.51,72.63
p7-s8,60.02,5.46,33.57,21.0,45.43
p7-s16,53.27,3.82,14.43,35.02,50.55
p9-s3-1,72.64,6.69,41.33,24.62,34.04
p9-s9,40.32,5.67,27.05,7.61,65.35
p11-s4,30.64,5.31,17.76,7.57,74.67
p11-s11,32.2,4.69,16.48,11.03,72.49
p12-s3,47.11,13.64,15.17,18.3,66.53
p12-s6,43.68,12.69,13.7,17.29,69.01
p17-s2,27.41,4.94,16.03,6.44,77.53
p17-s6,29.45,3.6,21.14,4.71,74.15
p18-s15,37.38,3.67,29.33,4.38,66.29
p18-s17,30.84,2.58,20.24,8.02,71.73
