video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,37.18,14.53,13.89,8.75,77.36
p5-s10,22.86,7.95,10.32,4.59,85.09
p7-s8,59.41,9.49,17.69,32.23,50.09
p7-s16,49.88,6.06,19.04,24.79,56.18
p9-s3-1,72.78,10.42,45.38,16.98,37.64
p9-s9,53.91,15.61,26.55,11.75,61.7
p11-s4,29.16,9.29,13.82,6.06,80.13
p11-s11,42.25,8.85,6.92,26.48,66.6
p12-s3,61.53,38.61,10.79,12.14,77.08
p12-s6,69.51,38.68,14.83,16.01,69.16
p17-s2,37.79,7.22,13.62,16.95,69.43
p17-s6,27.99,6.53,18.63,2.83,78.54
p18-s15,18.89,3.45,9.97,5.47,84.56
p18-s17,42.51,5.72,10.34,26.45,63.21
