video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,64.06,2.44,56.48,5.15,38.37
p5-s10,35.1,6.58,24.63,3.89,71.49
p7-s8,67.85,3.94,50.77,13.14,36.09
p7-s16,46.39,4.23,37.83,4.32,57.84
p9-s3-1,95.38,3.08,87.91,4.39,7.7
p9-s9,79.45,1.03,68.92,9.51,21.57
p11-s4,49.98,12.77,32.98,4.23,62.79
p11-s11,60.5,16.26,36.94,7.3,55.76
p12-s3,96.54,0.15,94.65,1.74,3.62
p12-s6,89.69,0.19,86.81,2.69,10.5
p17-s2,23.87,8.79,12.76,2.33,84.91
p17-s6,27.52,3.3,20.06,4.17,75.78
p18-s15,26.0,2.99,20.34,2.67,76.99
p18-s17,33.71,3.11,19.43,11.18,69.4
