video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,36.38,15.46,11.48,9.44,79.08
p5-s10,20.41,8.46,7.66,4.29,88.05
p7-s8,56.05,11.0,11.75,33.31,54.94
p7-s16,25.34,8.04,7.59,9.7,82.7
p9-s3-1,73.14,15.78,37.44,19.91,42.64
p9-s9,49.92,16.35,24.89,8.68,66.44
p11-s4,32.26,10.86,6.64,14.76,78.6
p11-s11,26.21,9.26,4.7,12.24,83.05
p12-s3,97.37,44.76,3.88,48.73,47.39
p12-s6,91.35,50.73,3.57,37.05,59.38
p17-s2,19.26,8.74,5.34,5.17,89.48
p17-s6,36.87,7.96,10.48,18.43,71.09
p18-s15,12.87,3.84,5.41,3.62,90.97
p18-s17,24.43,5.75,10.15,8.52,81.32
