video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,37.65,14.53,13.89,9.22,76.88
p5-s10,22.32,7.95,10.32,4.05,85.63
p7-s8,56.9,9.49,17.69,29.72,52.59
p7-s16,32.63,6.06,19.04,7.53,73.43
p9-s3-1,71.47,10.42,45.38,15.67,38.95
p9-s9,50.45,15.61,26.55,8.28,65.16
p11-s4,36.0,9.29,13.82,12.89,73.29
p11-s11,28.11,8.85,6.92,12.34,80.74
p12-s3,91.67,38.61,10.79,42.28,46.93
p12-s6,81.92,38.68,14.83,28.42,56.76
p17-s2,25.41,7.22,13.62,4.57,81.81
p17-s6,40.82,6.53,18.63,15.66,65.71
p18-s15,16.68,3.45,9.97,3.26,86.77
p18-s17,24.54,5.72,10.34,8.48,81.18
