video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,63.41,2.44,56.48,4.49,39.03
p5-s10,45.44,6.58,24.63,14.23,61.14
p7-s8,60.58,3.94,50.77,5.87,43.36
p7-s16,47.93,4.23,37.83,5.86,56.31
p9-s3-1,94.6,3.08,87.91,3.6,8.49
p9-s9,74.69,1.03,68.92,4.74,26.34
p11-s4,51.76,12.77,32.98,6.01,61.01
p11-s11,62.96,16.26,36.94,9.75,53.3
p12-s3,96.83,0.15,94.65,2.03,3.32
p12-s6,88.98,0.19,86.81,1.98,11.21
p17-s2,41.5,8.79,12.76,19.96,67.28
p17-s6,31.94,3.3,20.06,8.59,71.36
p18-s15,29.46,2.99,20.34,6.13,73.53
p18-s17,29.98,3.11,19.43,7.44,73.13
