video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,64.95,2.29,58.35,4.3,37.34
p5-s10,47.33,6.19,27.07,14.08,58.86
p7-s8,63.69,3.4,55.03,5.26,39.71
p7-s16,54.52,3.19,46.12,5.21,48.67
p9-s3-1,95.07,2.04,89.92,3.12,6.96
p9-s9,75.59,0.98,69.76,4.86,25.39
p11-s4,55.61,10.92,39.48,5.21,55.31
p11-s11,63.36,15.54,38.42,9.41,52.18
p12-s3,97.05,0.13,95.09,1.83,3.08
p12-s6,88.24,0.15,86.36,1.73,11.91
p17-s2,47.24,7.26,22.32,17.66,60.02
p17-s6,38.87,2.71,29.13,7.04,63.83
p18-s15,33.14,2.69,24.7,5.74,69.56
p18-s17,30.13,3.09,19.63,7.41,72.96
