video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.97,23.04,14.76,10.17,75.07
p5-s10,57.72,33.97,8.2,15.55,76.25
p7-s8,54.36,7.23,18.29,28.84,52.87
p7-s16,49.84,24.6,7.74,17.5,74.76
p9-s3-1,81.51,26.36,34.74,20.41,44.85
p9-s9,55.06,8.89,18.04,28.13,53.83
p11-s4,43.92,28.41,5.72,9.79,84.49
p11-s11,29.53,18.01,3.64,7.88,88.48
p12-s3,55.35,26.0,5.53,23.82,70.65
p12-s6,105.42,76.47,4.17,24.78,71.04
p17-s2,42.85,23.23,6.77,12.85,80.38
p17-s6,38.57,18.3,12.23,8.04,79.73
p18-s15,23.35,10.93,7.76,4.65,87.58
p18-s17,22.54,9.54,8.79,4.21,87.0
