video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,74.9,0.32,65.85,8.73,25.42
p5-s10,60.12,10.44,39.84,9.84,50.32
p7-s8,74.49,1.85,67.66,4.98,27.36
p7-s16,57.93,3.84,50.81,3.27,45.92
p9-s3-1,92.81,1.37,87.69,3.75,8.56
p9-s9,74.17,3.03,62.0,9.14,28.86
p11-s4,65.71,4.3,57.24,4.17,38.58
p11-s11,65.45,0.65,60.13,4.67,35.2
p12-s3,96.4,1.14,92.22,3.04,4.74
p12-s6,93.5,0.9,90.65,1.96,7.39
p17-s2,51.07,10.51,28.78,11.77,59.45
p17-s6,47.71,5.72,36.11,5.88,58.01
p18-s15,61.41,9.08,45.15,7.18,47.67
p18-s17,35.65,0.57,27.73,7.35,64.92
