video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.16,33.98,15.98,12.2,71.82
p5-s10,82.55,43.54,9.71,29.29,61.0
p7-s8,78.59,32.5,20.59,25.51,53.91
p7-s16,63.61,26.87,13.34,23.4,63.26
p9-s3-1,86.93,25.62,36.32,24.99,38.69
p9-s9,55.25,8.48,19.8,26.96,53.24
p11-s4,72.42,37.54,10.83,24.05,65.12
p11-s11,44.81,29.81,4.37,10.63,84.99
p12-s3,99.92,64.25,8.74,26.93,64.33
p12-s6,103.92,66.6,9.45,27.88,62.68
p17-s2,69.92,36.99,10.54,22.39,67.08
p17-s6,44.48,9.47,19.35,15.67,64.98
p18-s15,57.49,31.22,9.84,16.43,73.73
p18-s17,55.08,33.5,8.75,12.83,78.42
