video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,72.59,2.88,64.81,4.9,30.3
p5-s10,76.19,15.36,39.18,21.65,39.18
p7-s8,72.34,2.31,64.96,5.06,29.97
p7-s16,55.8,5.24,45.58,4.98,49.44
p9-s3-1,91.21,1.52,84.48,5.2,10.31
p9-s9,70.93,5.81,61.05,4.07,34.88
p11-s4,73.67,7.09,53.16,13.42,33.42
p11-s11,67.28,2.56,60.15,4.57,35.28
p12-s3,95.31,1.04,91.87,2.41,5.73
p12-s6,92.33,0.1,91.1,1.14,7.77
p17-s2,63.27,22.31,22.9,18.07,59.03
p17-s6,41.23,2.84,30.93,7.47,61.61
p18-s15,66.2,10.79,43.43,11.98,44.59
p18-s17,36.81,3.24,27.59,5.98,66.43
