video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,73.19,2.71,65.8,4.68,29.52
p5-s10,75.45,14.44,40.24,20.77,38.99
p7-s8,74.47,1.99,67.66,4.82,27.52
p7-s16,59.67,3.95,50.48,5.24,44.28
p9-s3-1,92.81,1.01,87.66,4.14,8.2
p9-s9,71.41,5.55,61.97,3.9,34.14
p11-s4,75.02,6.06,57.14,11.82,31.04
p11-s11,66.93,2.45,60.04,4.43,35.52
p12-s3,95.54,0.89,92.27,2.37,5.36
p12-s6,91.9,0.07,90.9,0.92,8.17
p17-s2,63.77,18.42,28.53,16.82,54.66
p17-s6,46.16,2.33,35.82,8.01,56.17
p18-s15,66.38,9.71,44.76,11.91,43.33
p18-s17,36.7,3.22,27.52,5.95,66.52
