video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.21,17.78,24.83,8.61,66.57
p5-s10,56.23,26.01,17.85,12.37,69.78
p7-s8,60.8,5.46,33.57,21.77,44.66
p7-s16,46.06,18.87,14.43,12.76,72.81
p9-s3-1,76.0,16.36,41.33,18.31,40.36
p9-s9,54.26,5.67,27.05,21.54,51.41
p11-s4,46.46,18.68,17.76,10.03,72.21
p11-s11,33.02,10.37,16.48,6.17,77.35
p12-s3,73.47,17.28,15.17,41.02,43.81
p12-s6,71.67,35.93,13.7,22.03,64.27
p17-s2,51.65,4.94,16.03,30.67,53.3
p17-s6,45.16,15.61,21.14,8.41,70.46
p18-s15,42.75,8.94,29.33,4.47,66.19
p18-s17,28.84,5.18,20.24,3.41,76.35
