video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.25,16.72,26.03,8.49,65.47
p5-s10,55.89,24.45,19.58,11.86,68.56
p7-s8,62.13,4.71,37.64,19.78,42.58
p7-s16,47.72,14.21,21.86,11.65,66.49
p9-s3-1,72.98,10.8,45.38,16.8,37.82
p9-s9,55.77,5.41,28.41,21.95,49.64
p11-s4,47.55,15.97,21.95,9.62,68.42
p11-s11,34.45,9.91,18.29,6.25,75.46
p12-s3,71.14,14.9,20.62,35.62,43.77
p12-s6,64.6,27.39,18.65,18.55,62.8
p17-s2,55.58,4.08,23.97,27.53,48.5
p17-s6,47.68,12.81,26.79,8.09,65.12
p18-s15,43.8,8.04,31.74,4.03,64.24
p18-s17,28.73,5.16,20.18,3.39,76.42
