video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,55.21,7.0,41.1,7.12,51.78
p5-s10,62.04,15.42,37.2,9.42,53.38
p7-s8,72.85,6.05,53.67,13.13,33.2
p7-s16,63.37,16.6,38.16,8.61,53.23
p9-s3-1,88.13,5.62,76.12,6.38,17.49
p9-s9,68.24,4.6,44.85,18.79,36.36
p11-s4,56.72,12.12,38.03,6.57,55.4
p11-s11,39.31,4.35,30.55,4.41,65.04
p12-s3,93.02,1.85,86.24,4.93,8.83
p12-s6,94.45,0.79,90.82,2.83,6.34
p17-s2,54.82,17.79,25.36,11.67,62.97
p17-s6,47.04,5.21,32.29,9.53,58.17
p18-s15,47.56,1.68,40.78,5.11,54.11
p18-s17,39.07,2.33,25.59,11.14,63.26
