video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,55.21,7.0,41.1,7.12,51.78
p5-s10,61.15,13.14,37.26,10.74,51.99
p7-s8,71.05,2.1,54.5,14.45,31.05
p7-s16,54.07,8.81,38.39,6.86,54.74
p9-s3-1,84.68,3.2,76.83,4.65,18.52
p9-s9,75.05,8.14,44.63,22.29,33.09
p11-s4,50.9,8.19,37.67,5.04,57.29
p11-s11,49.26,9.03,30.28,9.94,59.77
p12-s3,90.94,1.51,86.25,3.18,10.57
p12-s6,95.21,0.99,90.87,3.36,5.78
p17-s2,42.44,6.18,27.82,8.44,63.74
p17-s6,51.74,12.82,30.67,8.24,61.09
p18-s15,64.88,14.29,39.48,11.1,49.41
p18-s17,57.89,20.24,25.59,12.06,62.35
