video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,61.94,12.81,40.03,9.1,50.87
p5-s10,72.69,14.22,36.19,22.28,41.53
p7-s8,69.9,6.9,50.98,12.02,37.0
p7-s16,48.66,9.75,31.86,7.05,61.08
p9-s3-1,94.1,8.62,72.32,13.16,14.52
p9-s9,74.32,18.14,43.54,12.65,43.81
p11-s4,78.52,21.23,33.26,24.03,42.71
p11-s11,49.16,12.5,28.92,7.74,63.34
p12-s3,91.96,1.31,85.68,4.97,9.35
p12-s6,93.93,0.22,91.71,2.01,6.28
p17-s2,74.24,35.17,19.97,19.1,60.93
p17-s6,43.0,8.14,25.61,9.25,65.14
p18-s15,49.92,4.77,38.59,6.55,54.85
p18-s17,38.94,7.96,25.37,5.62,69.01
