video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,61.94,12.81,40.03,9.1,50.87
p5-s10,62.6,13.32,36.19,13.09,50.72
p7-s8,68.85,2.43,50.98,15.44,33.58
p7-s16,57.83,14.21,31.86,11.76,56.37
p9-s3-1,82.79,4.85,72.32,5.63,22.05
p9-s9,53.75,7.78,43.54,2.43,54.03
p11-s4,67.92,13.69,33.26,20.96,45.78
p11-s11,63.58,13.87,28.92,20.79,50.29
p12-s3,90.94,1.23,85.68,4.03,10.29
p12-s6,96.1,1.29,91.71,3.1,5.19
p17-s2,53.12,7.48,19.97,25.67,54.36
p17-s6,39.81,9.55,25.61,4.64,69.75
p18-s15,69.3,18.13,38.59,12.58,48.83
p18-s17,63.01,20.29,25.37,17.35,57.28
