video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.22,12.05,41.31,8.87,49.82
p5-s10,62.79,12.52,36.76,13.5,49.74
p7-s8,71.1,2.1,54.5,14.5,31.0
p7-s16,60.55,10.7,38.26,11.59,50.15
p9-s3-1,84.58,3.2,76.83,4.55,18.62
p9-s9,54.3,7.43,44.55,2.32,53.13
p11-s4,68.29,11.71,37.51,19.07,43.42
p11-s11,64.24,13.26,30.54,20.44,49.02
p12-s3,90.93,1.06,86.38,3.49,10.13
p12-s6,94.65,0.98,91.07,2.59,6.33
p17-s2,55.89,6.18,27.82,21.89,50.29
p17-s6,43.8,7.84,30.84,5.12,64.04
p18-s15,68.15,16.31,38.61,13.23,48.16
p18-s17,62.93,20.19,25.47,17.27,57.27
