video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,58.39,36.21,12.62,9.55,77.82
p5-s10,41.18,24.29,9.08,7.81,83.12
p7-s8,59.76,9.49,17.69,32.58,49.74
p7-s16,68.88,33.18,15.13,20.56,64.31
p9-s3-1,72.78,10.42,45.38,16.98,37.64
p9-s9,63.72,28.06,26.14,9.52,64.35
p11-s4,39.04,20.6,12.09,6.35,81.56
p11-s11,70.94,40.85,5.85,24.24,69.91
p12-s3,102.2,82.48,7.54,12.18,80.29
p12-s6,117.96,86.46,8.68,22.82,68.51
p17-s2,36.34,7.22,13.62,15.49,70.89
p17-s6,39.92,16.1,17.48,6.35,76.18
p18-s15,40.26,23.21,7.77,9.28,82.95
p18-s17,68.5,34.81,10.11,23.59,66.31
