video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,71.97,7.73,56.48,7.77,35.75
p5-s10,48.7,18.63,24.63,5.44,69.93
p7-s8,69.91,3.94,50.77,15.19,34.03
p7-s16,59.47,14.68,37.83,6.95,55.21
p9-s3-1,95.17,3.08,87.91,4.17,7.92
p9-s9,78.86,3.15,68.92,6.79,24.29
p11-s4,61.34,21.42,32.98,6.93,60.09
p11-s11,78.37,29.78,36.94,11.64,51.41
p12-s3,96.99,0.52,94.65,1.83,3.53
p12-s6,93.95,2.77,86.81,4.37,8.82
p17-s2,46.76,8.79,12.76,25.21,62.03
p17-s6,34.77,8.18,20.06,6.53,73.41
p18-s15,58.86,18.95,20.34,19.57,60.09
p18-s17,66.86,19.37,19.43,28.06,52.52
