video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,72.96,7.27,58.22,7.47,34.31
p5-s10,49.47,17.52,26.63,5.33,68.04
p7-s8,72.41,3.4,55.03,13.97,31.0
p7-s16,61.57,11.06,44.32,6.19,49.49
p9-s3-1,95.59,2.04,89.92,3.63,6.45
p9-s9,79.22,3.01,69.46,6.76,23.78
p11-s4,63.46,18.32,38.84,6.3,54.86
p11-s11,78.24,28.46,38.11,11.68,50.22
p12-s3,97.17,0.45,95.09,1.63,3.28
p12-s6,92.06,2.11,85.98,3.97,10.06
p17-s2,51.48,7.26,22.32,21.9,55.78
p17-s6,41.1,6.71,28.74,5.66,65.6
p18-s15,60.24,17.05,23.51,19.68,56.81
p18-s17,66.84,19.28,19.63,27.93,52.44
