video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,35.76,15.46,11.48,8.82,79.7
p5-s10,88.95,52.63,7.66,28.66,63.68
p7-s8,57.17,11.0,11.75,34.42,53.83
p7-s16,67.31,33.28,7.59,26.44,65.97
p9-s3-1,105.06,38.74,37.44,28.88,33.68
p9-s9,68.71,32.67,24.89,11.16,63.95
p11-s4,32.43,10.86,6.64,14.92,78.44
p11-s11,85.14,53.9,4.7,26.54,68.76
p12-s3,126.6,86.14,3.88,36.57,59.54
p12-s6,137.91,100.74,3.57,33.6,62.83
p17-s2,48.89,32.7,5.34,10.84,83.81
p17-s6,50.5,20.71,10.48,19.32,70.21
p18-s15,37.18,21.93,5.41,9.84,84.75
p18-s17,22.47,5.75,10.15,6.57,83.28
