video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,61.33,2.44,56.48,2.42,41.1
p5-s10,73.85,25.46,24.63,23.77,51.6
p7-s8,75.02,9.32,50.77,14.92,34.31
p7-s16,59.39,12.61,37.83,8.95,53.22
p9-s3-1,99.57,4.14,87.91,7.52,4.57
p9-s9,83.47,5.97,68.92,8.58,22.5
p11-s4,65.99,23.41,32.98,9.6,57.42
p11-s11,72.49,22.97,36.94,12.58,50.48
p12-s3,95.77,0.2,94.65,0.92,4.43
p12-s6,89.42,0.41,86.81,2.2,10.99
p17-s2,73.37,35.67,12.76,24.94,62.3
p17-s6,48.45,10.1,20.06,18.29,61.65
p18-s15,37.08,12.13,20.34,4.61,75.05
p18-s17,57.28,22.24,19.43,15.61,64.96
