video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.93,2.29,58.35,2.29,39.36
p5-s10,73.67,23.93,26.59,23.16,50.26
p7-s8,76.33,8.05,54.45,13.83,31.72
p7-s16,62.19,9.5,44.68,8.01,47.31
p9-s3-1,98.47,2.74,89.74,5.99,4.27
p9-s9,83.4,5.69,69.52,8.19,22.29
p11-s4,67.26,20.02,38.74,8.51,52.76
p11-s11,72.31,21.95,38.2,12.16,49.64
p12-s3,96.07,0.17,95.09,0.8,4.11
p12-s6,88.15,0.31,85.84,1.99,12.16
p17-s2,72.15,29.46,20.32,22.37,57.31
p17-s6,52.84,8.28,28.45,16.1,55.44
p18-s15,39.39,10.91,24.17,4.31,71.52
p18-s17,57.31,22.14,19.46,15.71,64.83
