video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,31.41,9.49,13.46,8.46,78.08
p5-s10,20.23,8.51,7.4,4.32,88.28
p7-s8,56.1,9.6,17.9,28.6,53.5
p7-s16,31.99,5.94,16.67,9.37,73.95
p9-s3-1,80.27,8.9,36.7,34.68,28.63
p9-s9,54.52,13.68,14.45,26.38,59.16
p11-s4,25.19,8.42,10.48,6.29,83.23
p11-s11,22.6,10.27,4.34,8.0,87.66
p12-s3,56.97,30.2,9.37,17.41,73.23
p12-s6,75.54,32.74,13.26,29.54,57.2
p17-s2,24.42,6.72,13.03,4.67,82.3
p17-s6,25.83,5.83,17.32,2.68,80.0
p18-s15,16.56,4.98,8.51,3.07,88.42
p18-s17,15.01,4.84,6.14,4.04,89.83
