video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,29.93,10.09,11.02,8.82,80.16
p5-s10,28.45,9.05,4.6,14.79,80.6
p7-s8,57.08,11.13,12.0,33.95,54.04
p7-s16,45.39,7.89,5.22,32.29,62.49
p9-s3-1,62.88,13.48,26.61,22.8,50.6
p9-s9,39.15,14.34,12.52,12.3,75.18
p11-s4,25.95,9.84,3.22,12.88,83.89
p11-s11,34.52,10.74,2.1,21.68,76.22
p12-s3,50.94,35.01,2.43,13.5,84.07
p12-s6,66.96,42.94,1.64,22.37,75.98
p17-s2,37.49,8.14,4.68,24.68,70.64
p17-s6,19.39,7.1,9.19,3.09,87.71
p18-s15,31.05,5.54,3.82,21.69,74.49
p18-s17,32.93,4.86,5.93,22.14,71.93
